,parcode,trial,rt,choice,item_left,item_right
0,1,0,3327,1,0.0,5.0
1,1,1,3424,1,5.0,4.0
2,1,2,3691,1,4.0,1.0
3,1,3,8144,-1,3.0,5.0
4,1,4,6559,-1,5.0,5.0
5,1,5,5595,-1,0.0,1.0
6,1,6,2470,1,3.0,0.0
7,1,7,6091,1,0.0,0.0
8,1,8,4669,1,3.0,4.0
9,1,9,4001,1,5.0,0.0
10,1,10,3301,-1,0.0,0.0
11,1,11,2867,-1,2.0,5.0
12,1,12,3117,1,4.0,0.0
13,1,13,10424,1,4.0,5.0
14,1,14,2754,-1,1.0,3.0
15,1,15,5836,1,5.0,4.0
16,1,16,3931,1,4.0,4.0
17,1,17,3602,1,3.0,0.0
18,1,18,5674,-1,4.0,2.0
19,1,19,2567,1,4.0,0.0
20,1,20,2097,-1,0.0,3.0
21,1,21,3641,-1,0.0,0.0
22,1,22,4550,1,4.0,3.0
23,1,23,2973,1,4.0,2.0
24,1,24,2824,-1,1.0,4.0
25,1,25,3643,-1,5.0,5.0
26,1,26,2188,1,4.0,0.0
27,1,27,3321,1,4.0,0.0
28,1,28,6784,-1,4.0,5.0
29,1,29,2314,-1,0.0,5.0
30,1,30,2952,-1,0.0,5.0
31,1,31,8388,-1,1.0,2.0
32,1,32,5341,1,1.0,4.0
33,1,33,2183,1,0.0,0.0
34,1,34,3207,-1,0.0,4.0
35,1,35,3224,1,0.0,3.0
36,1,36,3476,1,4.0,4.0
37,1,37,2295,-1,0.0,4.0
38,1,38,3513,-1,3.0,5.0
39,1,39,4458,1,0.0,0.0
40,1,40,2348,1,3.0,0.0
41,1,41,2809,-1,2.0,4.0
42,1,42,1992,-1,0.0,4.0
43,1,43,1534,1,4.0,0.0
44,1,44,3023,-1,0.0,5.0
45,1,45,3452,-1,5.0,5.0
46,1,46,3961,1,5.0,3.0
47,1,47,2636,1,5.0,0.0
48,1,48,1898,1,5.0,0.0
49,1,49,1725,1,5.0,0.0
50,1,50,4336,1,5.0,5.0
51,1,51,2037,-1,0.0,0.0
52,1,52,2479,-1,0.0,4.0
53,1,53,3389,1,5.0,3.0
54,1,54,2339,-1,4.0,5.0
55,1,55,3609,-1,4.0,4.0
56,1,56,7371,1,5.0,3.0
57,1,57,2520,-1,3.0,5.0
58,1,58,1761,1,5.0,2.0
59,1,59,2593,1,4.0,4.0
60,1,60,5772,1,3.0,0.0
61,1,61,1945,-1,0.0,4.0
62,1,62,1621,1,0.0,0.0
63,1,63,2952,1,3.0,2.0
64,1,64,2725,-1,1.0,5.0
65,1,65,2591,-1,0.0,3.0
66,1,66,3523,1,2.0,0.0
67,1,67,7082,-1,1.0,0.0
68,1,68,4066,1,3.0,1.0
69,1,69,2602,-1,1.0,5.0
70,1,70,3239,1,2.0,1.0
71,1,71,1943,-1,3.0,3.0
72,1,72,3627,-1,4.0,5.0
