,parcode,trial,fix_item,fix_time
0,1,0,0,601
1,1,0,1,878
2,1,0,2,694
3,1,0,1,1154
4,1,1,3,215
5,1,1,1,686
6,1,1,2,1488
7,1,1,1,632
8,1,1,2,403
9,1,2,3,339
10,1,2,1,1108
11,1,2,2,2244
12,1,3,3,277
13,1,3,1,626
14,1,3,2,2328
15,1,3,1,948
16,1,3,2,782
17,1,3,1,1936
18,1,3,0,238
19,1,3,1,1009
21,1,4,1,202
22,1,4,0,480
23,1,4,1,826
24,1,4,2,1582
25,1,4,1,2066
26,1,4,2,596
27,1,4,1,807
28,1,5,3,336
29,1,5,1,738
30,1,5,2,954
31,1,5,0,204
32,1,5,1,2582
33,1,5,2,340
34,1,5,1,441
35,1,6,3,250
36,1,6,1,732
37,1,6,2,1488
38,1,7,3,281
39,1,7,1,818
40,1,7,0,226
41,1,7,2,2300
42,1,7,1,1214
43,1,7,2,1252
44,1,8,3,273
45,1,8,0,176
46,1,8,1,576
47,1,8,2,1118
48,1,8,1,1194
49,1,8,2,1332
50,1,9,3,506
51,1,9,1,594
52,1,9,2,2901
53,1,10,3,308
54,1,10,1,698
55,1,10,2,1182
56,1,10,1,1113
57,1,11,3,277
58,1,11,1,820
59,1,11,2,1058
60,1,11,1,712
61,1,12,3,239
62,1,12,1,810
63,1,12,2,938
64,1,12,1,648
65,1,12,2,482
66,1,13,3,205
67,1,13,1,1366
68,1,13,2,1388
69,1,13,1,876
70,1,13,2,818
71,1,13,1,1772
72,1,13,2,568
73,1,13,0,156
74,1,13,2,494
75,1,13,1,1552
76,1,13,2,1229
77,1,14,3,260
78,1,14,1,972
79,1,14,2,1006
80,1,14,1,516
81,1,15,3,261
82,1,15,1,734
83,1,15,2,956
84,1,15,1,1542
85,1,15,2,1354
86,1,15,1,468
87,1,15,2,521
88,1,16,3,373
89,1,16,1,892
90,1,16,2,1890
91,1,16,1,312
92,1,16,2,464
93,1,17,3,330
94,1,17,1,1364
95,1,17,2,1908
96,1,18,3,268
97,1,18,1,702
98,1,18,2,1474
99,1,18,1,1010
100,1,18,2,1712
101,1,18,1,508
102,1,19,3,371
103,1,19,1,570
104,1,19,2,1626
105,1,20,3,262
106,1,20,1,612
107,1,20,2,648
108,1,20,1,575
109,1,21,3,253
110,1,21,1,822
111,1,21,2,1542
112,1,21,1,1024
113,1,22,3,248
114,1,22,0,146
115,1,22,1,806
116,1,22,2,1348
117,1,22,1,1516
118,1,22,2,486
119,1,23,3,239
120,1,23,1,656
121,1,23,2,2078
122,1,24,3,278
123,1,24,1,826
124,1,24,2,1300
125,1,24,1,420
126,1,25,3,399
127,1,25,1,802
128,1,25,2,820
129,1,25,1,842
130,1,25,2,354
131,1,25,1,426
132,1,26,3,58
133,1,26,0,208
134,1,26,1,750
135,1,26,2,1172
136,1,27,3,234
137,1,27,1,566
138,1,27,2,1680
139,1,27,1,362
140,1,27,2,479
141,1,28,3,278
142,1,28,1,780
143,1,28,2,1028
144,1,28,1,2228
145,1,28,2,2028
146,1,28,1,442
147,1,29,3,271
148,1,29,1,676
149,1,29,2,1092
150,1,29,1,275
151,1,30,3,288
152,1,30,1,728
153,1,30,2,798
154,1,30,1,1138
155,1,31,3,220
156,1,31,1,782
157,1,31,2,938
158,1,31,1,3064
159,1,31,2,2876
160,1,31,1,508
161,1,32,3,239
162,1,32,0,144
163,1,32,1,1364
164,1,32,2,1090
165,1,32,1,1596
166,1,32,2,908
168,1,33,2,240
169,1,33,1,732
170,1,33,2,1211
171,1,34,3,245
172,1,34,1,828
173,1,34,2,1672
174,1,34,1,462
175,1,35,3,213
176,1,35,1,680
177,1,35,2,1258
178,1,35,1,356
179,1,35,2,717
180,1,36,3,248
181,1,36,0,216
182,1,36,1,896
183,1,36,2,760
184,1,36,1,916
185,1,36,2,440
186,1,37,3,245
187,1,37,1,866
188,1,37,2,752
189,1,37,1,432
190,1,38,3,240
191,1,38,1,876
192,1,38,2,1324
193,1,38,1,1073
194,1,39,3,258
195,1,39,1,670
196,1,39,2,642
197,1,39,1,1170
198,1,39,2,1718
199,1,40,3,305
200,1,40,1,896
201,1,40,2,1147
202,1,41,3,261
203,1,41,1,1074
204,1,41,2,616
205,1,41,0,244
206,1,41,1,614
207,1,42,3,192
208,1,42,1,694
209,1,42,2,618
210,1,42,1,488
212,1,43,1,589
213,1,43,2,945
214,1,44,3,244
215,1,44,1,680
216,1,44,2,1144
217,1,44,1,955
218,1,45,3,228
219,1,45,1,620
220,1,45,2,638
221,1,45,1,1006
222,1,45,2,526
223,1,45,1,434
224,1,46,3,236
225,1,46,1,912
226,1,46,2,1546
227,1,46,1,732
228,1,46,2,535
229,1,47,3,265
230,1,47,1,692
231,1,47,2,866
232,1,47,1,410
233,1,47,2,403
234,1,48,3,203
235,1,48,1,768
236,1,48,2,927
237,1,49,3,236
238,1,49,1,704
239,1,49,2,785
240,1,50,3,230
241,1,50,1,540
242,1,50,2,770
243,1,50,1,1180
244,1,50,2,692
245,1,50,1,394
246,1,50,2,530
247,1,51,3,257
248,1,51,1,670
249,1,51,2,622
250,1,51,1,488
251,1,52,3,228
252,1,52,1,856
253,1,52,2,942
254,1,52,1,453
255,1,53,3,213
256,1,53,1,754
257,1,53,2,1202
258,1,53,1,694
259,1,53,2,526
260,1,54,3,238
261,1,54,1,690
262,1,54,2,980
263,1,54,1,431
264,1,55,3,247
265,1,55,1,704
266,1,55,2,638
267,1,55,1,950
268,1,55,2,372
269,1,55,1,698
270,1,56,3,303
271,1,56,1,534
272,1,56,2,700
273,1,56,1,798
274,1,56,2,718
275,1,56,1,1154
276,1,56,2,750
277,1,56,1,1570
278,1,56,2,844
280,1,57,1,877
281,1,57,2,796
282,1,57,1,847
283,1,58,3,252
284,1,58,1,640
285,1,58,2,869
286,1,59,3,220
287,1,59,1,598
288,1,59,2,1775
289,1,60,3,248
290,1,60,1,578
291,1,60,2,1268
292,1,60,1,3108
293,1,60,2,570
294,1,61,3,57
295,1,61,1,660
296,1,61,2,818
297,1,61,1,410
298,1,62,3,187
299,1,62,1,574
300,1,62,2,860
301,1,63,3,213
302,1,63,1,530
303,1,63,2,948
304,1,63,1,822
305,1,63,2,439
306,1,64,3,260
307,1,64,1,618
308,1,64,2,756
309,1,64,1,1091
310,1,65,3,242
311,1,65,1,710
312,1,65,2,792
313,1,65,1,847
314,1,66,3,232
315,1,66,1,640
316,1,66,2,1450
317,1,66,1,760
318,1,66,2,441
319,1,67,3,247
320,1,67,1,532
321,1,67,2,824
322,1,67,1,616
323,1,67,2,786
324,1,67,1,1734
325,1,67,2,1560
326,1,67,1,783
327,1,68,3,241
328,1,68,1,1034
329,1,68,2,1400
330,1,68,0,248
331,1,68,1,518
332,1,68,2,625
333,1,69,3,60
334,1,69,0,198
335,1,69,1,722
336,1,69,2,630
337,1,69,1,992
338,1,70,3,249
339,1,70,1,650
340,1,70,2,866
341,1,70,0,390
342,1,70,1,524
343,1,70,2,560
344,1,71,3,256
345,1,71,1,568
346,1,71,2,662
347,1,71,1,457
348,1,72,3,261
349,1,72,1,712
350,1,72,2,646
351,1,72,1,902
