parcode,trial,rt,choice,item_left,item_right
0,0,2760,1,0,0
0,1,1530,-1,0,0
0,2,850,-1,0,0
0,3,2120,1,0,0
0,4,7830,-1,0,0
0,5,1280,1,0,0
0,6,4040,1,0,0
0,7,4710,-1,0,0
0,8,6010,1,0,0
0,9,8190,-1,0,0
0,10,440,1,0,0
0,11,7860,-1,0,0
0,12,1680,-1,0,0
0,13,6160,-1,0,0
0,14,14390,-1,0,0
0,15,4240,-1,0,0
0,16,2110,1,0,0
0,17,1410,-1,0,0
0,18,1420,1,0,0
0,19,900,-1,0,0
0,20,1440,1,0,0
0,21,1640,1,0,0
0,22,1450,-1,0,0
0,23,8890,1,0,0
0,24,1610,1,0,0
0,25,3480,1,0,0
0,26,6770,-1,0,0
0,27,6590,-1,0,0
0,28,1190,-1,0,0
0,29,1330,1,0,0
0,30,3190,1,0,0
0,31,2120,-1,0,0
0,32,9400,1,0,0
0,33,4990,-1,0,0
0,34,3960,1,0,0
0,35,2620,-1,0,0
0,36,1070,-1,0,0
0,37,4220,1,0,0
0,38,2040,-1,0,0
0,39,10000,1,0,0
0,40,920,-1,0,0
0,41,1790,-1,0,0
0,42,5660,1,0,0
0,43,4460,1,0,0
0,44,12180,1,0,0
0,45,510,1,0,0
0,46,2190,-1,0,0
0,47,2480,-1,0,0
0,48,2520,-1,0,0
0,49,3190,-1,0,0
0,50,4550,-1,0,0
0,51,2470,1,0,0
0,52,3800,-1,0,0
0,53,1650,-1,0,0
0,54,1530,-1,0,0
0,55,3000,-1,0,0
0,56,840,1,0,0
0,57,3710,1,0,0
0,58,3130,1,0,0
0,59,6790,-1,0,0
0,60,8760,1,0,0
0,61,7070,-1,0,0
0,62,3150,1,0,0
0,63,12830,1,0,0
0,64,6730,-1,0,0
0,65,2580,-1,0,0
0,66,8130,-1,0,0
0,67,3220,-1,0,0
0,68,740,-1,0,0
0,69,2990,1,0,0
0,70,8220,1,0,0
0,71,2110,-1,0,0
0,72,1970,-1,0,0
0,73,5770,1,0,0
0,74,1800,-1,0,0
0,75,5360,1,0,0
0,76,5640,1,0,0
0,77,4210,-1,0,0
0,78,4380,-1,0,0
0,79,470,1,0,0
0,80,2040,1,0,0
0,81,1240,-1,0,0
0,82,3480,1,0,0
0,83,4600,1,0,0
0,84,23830,-1,0,0
0,85,890,1,0,0
0,86,4930,1,0,0
0,87,530,-1,0,0
0,88,3550,-1,0,0
0,89,910,-1,0,0
0,90,4850,-1,0,0
0,91,5240,1,0,0
0,92,5650,1,0,0
0,93,11000,1,0,0
0,94,5610,1,0,0
0,95,2180,-1,0,0
0,96,760,-1,0,0
0,97,1990,-1,0,0
0,98,4450,1,0,0
0,99,880,-1,0,0
0,100,6150,-1,0,0
0,101,5970,-1,0,0
0,102,1240,1,0,0
0,103,2950,-1,0,0
0,104,2500,-1,0,0
0,105,1390,1,0,0
0,106,1960,-1,0,0
0,107,3360,-1,0,0
0,108,1240,1,0,0
0,109,2980,-1,0,0
0,110,1900,-1,0,0
0,111,4050,-1,0,0
0,112,5000,1,0,0
0,113,5350,1,0,0
0,114,3590,-1,0,0
0,115,4710,1,0,0
0,116,4410,-1,0,0
