,parcode,rt,choice,trial,item_left,item_right
0,1,3327,1,0,1.2378809621020526,-1.1361373213813402
1,1,3424,1,1,-1.8144282595194503,-0.45784638324322857
2,1,3691,1,2,-0.45784638324322685,0.5595900239639386
3,1,8144,-1,3,-0.11870091417417107,-1.8144282595194512
4,1,6559,-1,4,-1.1361373213813388,-1.1361373213813402
5,1,5595,-1,5,1.916171900240165,0.5595900239639386
6,1,2470,1,6,-0.11870091417417107,0.8987354930329942
7,1,6091,1,7,1.2378809621020526,1.9161719002401618
8,1,4669,1,8,-0.11870091417417107,-0.45784638324322857
9,1,4001,1,9,-1.1361373213813388,0.8987354930329942
10,1,3301,-1,10,0.8987354930329967,0.8987354930329942
11,1,2867,-1,11,0.22044455489488518,-1.1361373213813402
12,1,3117,1,12,-0.7969918523122831,0.8987354930329942
13,1,10424,1,13,-0.45784638324322685,-1.1361373213813402
14,1,2754,-1,14,0.559590023963941,-0.118700914174173
15,1,5836,1,15,-1.1361373213813388,-0.45784638324322857
16,1,3931,1,16,-0.7969918523122831,-0.45784638324322857
17,1,3602,1,17,-0.11870091417417107,1.5770264311711062
18,1,5674,-1,18,-0.45784638324322685,0.22044455489488304
19,1,2567,1,19,-0.45784638324322685,0.8987354930329942
20,1,2097,-1,20,0.8987354930329967,-0.118700914174173
21,1,3641,-1,21,1.2378809621020526,1.5770264311711062
22,1,4550,1,22,-0.45784638324322685,-0.118700914174173
23,1,2973,1,23,-0.45784638324322685,0.22044455489488304
24,1,2824,-1,24,0.559590023963941,-0.45784638324322857
25,1,3643,-1,25,-1.1361373213813388,-1.8144282595194512
26,1,2188,1,26,-0.7969918523122831,1.9161719002401618
27,1,3321,1,27,-0.7969918523122831,0.8987354930329942
28,1,6784,-1,28,-0.7969918523122831,-1.1361373213813402
29,1,2314,-1,29,0.8987354930329967,-1.8144282595194512
30,1,2952,-1,30,0.8987354930329967,-1.1361373213813402
31,1,8388,-1,31,0.559590023963941,0.22044455489488304
32,1,5341,1,32,0.559590023963941,-0.7969918523122846
33,1,2183,1,33,0.8987354930329967,1.2378809621020497
34,1,3207,-1,34,1.2378809621020526,-0.7969918523122846
35,1,3224,1,35,0.8987354930329967,-0.118700914174173
36,1,3476,1,36,-0.45784638324322685,-0.7969918523122846
37,1,2295,-1,37,1.916171900240165,-0.45784638324322857
38,1,3513,-1,38,-0.11870091417417107,-1.8144282595194512
39,1,4458,1,39,0.8987354930329967,1.2378809621020497
40,1,2348,1,40,-0.11870091417417107,0.8987354930329942
41,1,2809,-1,41,0.22044455489488518,-0.45784638324322857
42,1,1992,-1,42,0.8987354930329967,-0.45784638324322857
43,1,1534,1,43,-0.7969918523122831,1.2378809621020497
44,1,3023,-1,44,1.2378809621020526,-1.8144282595194512
45,1,3452,-1,45,-1.1361373213813388,-1.1361373213813402
46,1,3961,1,46,-1.1361373213813388,-0.118700914174173
47,1,2636,1,47,-1.1361373213813388,0.8987354930329942
48,1,1898,1,48,-1.1361373213813388,0.8987354930329942
49,1,1725,1,49,-1.8144282595194503,0.8987354930329942
50,1,4336,1,50,-1.8144282595194503,-1.1361373213813402
51,1,2037,-1,51,1.2378809621020526,0.8987354930329942
52,1,2479,-1,52,2.5944628383782766,-0.7969918523122846
53,1,3389,1,53,-1.8144282595194503,-0.118700914174173
54,1,2339,-1,54,-0.45784638324322685,-1.1361373213813402
55,1,3609,-1,55,-0.7969918523122831,-0.7969918523122846
56,1,7371,1,56,-1.8144282595194503,-0.118700914174173
57,1,2520,-1,57,-0.11870091417417107,-1.1361373213813402
58,1,1761,1,58,-1.1361373213813388,0.22044455489488304
59,1,2593,1,59,-0.7969918523122831,-0.45784638324322857
60,1,5772,1,60,-0.11870091417417107,0.8987354930329942
61,1,1945,-1,61,0.8987354930329967,-0.7969918523122846
62,1,1621,1,62,0.8987354930329967,2.594462838378273
63,1,2952,1,63,-0.11870091417417107,0.22044455489488304
64,1,2725,-1,64,0.559590023963941,-1.1361373213813402
65,1,2591,-1,65,0.8987354930329967,-0.118700914174173
66,1,3523,1,66,0.22044455489488518,0.8987354930329942
67,1,7082,-1,67,0.559590023963941,0.8987354930329942
68,1,4066,1,68,-0.11870091417417107,0.5595900239639386
69,1,2602,-1,69,0.559590023963941,-1.1361373213813402
70,1,3239,1,70,0.22044455489488518,0.5595900239639386
71,1,1943,-1,71,-0.11870091417417107,-0.118700914174173
72,1,3627,-1,72,-0.7969918523122831,-1.1361373213813402
73,1,6245,-1,73,-0.45784638324322685,-0.118700914174173
74,1,4574,1,74,-0.7969918523122831,-0.118700914174173
75,1,4327,1,75,-0.45784638324322685,1.9161719002401618
76,1,6247,-1,76,0.8987354930329967,-1.1361373213813402
77,1,2353,-1,77,0.8987354930329967,0.5595900239639386
78,1,4758,-1,78,1.2378809621020526,-0.118700914174173
79,1,2715,-1,79,0.8987354930329967,-0.7969918523122846
80,1,1573,-1,80,2.5944628383782766,0.8987354930329942
81,1,1712,1,81,-0.7969918523122831,-0.7969918523122846
82,1,2040,-1,82,-0.11870091417417107,-0.45784638324322857
83,1,2372,1,83,-1.1361373213813388,-0.7969918523122846
84,1,4185,-1,84,-1.1361373213813388,-0.45784638324322857
85,1,3429,1,85,0.8987354930329967,0.5595900239639386
86,1,2044,-1,86,0.22044455489488518,-0.118700914174173
87,1,2542,1,87,-1.1361373213813388,1.2378809621020497
88,1,1576,1,88,-1.1361373213813388,0.5595900239639386
89,1,2497,-1,89,0.8987354930329967,0.8987354930329942
90,1,2511,1,90,-0.7969918523122831,0.8987354930329942
91,1,1564,1,91,-0.11870091417417107,-0.118700914174173
92,1,1616,1,92,-0.11870091417417107,1.2378809621020497
93,1,2987,1,93,-1.1361373213813388,-0.45784638324322857
94,1,3625,-1,94,-0.45784638324322685,-1.1361373213813402
95,1,2226,-1,95,0.8987354930329967,-1.1361373213813402
96,1,2179,-1,96,1.5770264311711093,-0.118700914174173
97,1,1847,-1,97,1.916171900240165,-0.7969918523122846
98,1,1569,1,98,0.559590023963941,1.9161719002401618
99,1,2371,-1,99,0.8987354930329967,-1.1361373213813402
100,1,2482,-1,100,0.8987354930329967,-0.7969918523122846
101,1,2747,-1,101,1.2378809621020526,0.8987354930329942
102,1,2918,1,102,-1.1361373213813388,-0.118700914174173
103,1,3706,1,103,-1.1361373213813388,-0.7969918523122846
