,parcode,trial,rt,choice,item_left,item_right
0,1,0,2009,-1,0.0,0.0
1,1,1,3371,-1,5.0,4.0
2,1,2,1700,1,0.0,5.0
3,1,3,7466,1,1.0,2.0
4,1,4,1889,1,5.0,5.0
5,1,5,2227,1,4.0,4.0
6,1,6,4259,-1,4.0,0.0
7,1,7,3505,-1,3.0,0.0
8,1,8,2548,-1,3.0,0.0
9,1,9,3226,1,0.0,5.0
10,1,10,4604,-1,4.0,0.0
11,1,11,6333,-1,0.0,5.0
12,1,12,5716,-1,0.0,0.0
13,1,13,3562,-1,5.0,0.0
14,1,14,2447,-1,4.0,0.0
15,1,15,2120,1,1.0,4.0
16,1,16,6932,1,5.0,5.0
17,1,17,4274,1,1.0,4.0
18,1,18,6854,-1,4.0,2.0
19,1,19,6698,-1,0.0,0.0
20,1,20,2913,-1,0.0,0.0
21,1,21,4513,-1,4.0,3.0
22,1,22,2110,1,4.0,5.0
23,1,23,3385,-1,4.0,2.0
24,1,24,2456,1,2.0,5.0
25,1,25,2136,-1,4.0,4.0
26,1,26,7010,1,0.0,3.0
27,1,27,4784,-1,0.0,0.0
28,1,28,2697,1,0.0,3.0
29,1,29,4654,1,1.0,3.0
30,1,30,1916,1,3.0,5.0
31,1,31,2033,-1,4.0,1.0
32,1,32,1441,1,0.0,4.0
33,1,33,3579,1,0.0,1.0
34,1,34,7377,1,4.0,5.0
35,1,35,2921,-1,5.0,4.0
36,1,36,6398,-1,3.0,5.0
37,1,37,2919,1,0.0,4.0
38,1,38,4737,-1,3.0,4.0
39,1,39,3459,-1,4.0,0.0
40,1,40,3454,1,4.0,4.0
41,1,41,2478,1,4.0,3.0
42,1,42,1728,1,0.0,4.0
43,1,43,2014,-1,4.0,4.0
44,1,44,519,1,0.0,0.0
45,1,45,5492,1,0.0,1.0
46,1,46,3216,1,0.0,4.0
47,1,47,2185,-1,2.0,0.0
48,1,48,1467,-1,5.0,5.0
49,1,49,1707,-1,4.0,0.0
50,1,50,1472,1,0.0,3.0
51,1,51,2425,-1,5.0,0.0
52,1,52,5621,1,5.0,3.0
53,1,53,3216,1,0.0,3.0
54,1,54,3167,1,0.0,5.0
55,1,55,1939,-1,0.0,0.0
56,1,56,2066,-1,3.0,2.0
57,1,57,1561,1,1.0,5.0
58,1,58,2037,-1,4.0,3.0
59,1,59,3620,1,4.0,5.0
60,1,60,1235,1,0.0,4.0
61,1,61,3726,1,2.0,4.0
62,1,62,1764,1,1.0,0.0
63,1,63,4016,-1,5.0,2.0
64,1,64,2365,1,0.0,5.0
65,1,65,1583,1,3.0,3.0
66,1,66,5406,-1,3.0,1.0
67,1,67,2418,1,1.0,5.0
68,1,68,5198,-1,2.0,1.0
69,1,69,4101,1,0.0,4.0
70,1,70,3167,1,3.0,5.0
71,1,71,1675,-1,4.0,0.0
72,1,72,1655,1,4.0,5.0
73,1,73,1870,-1,3.0,0.0
74,1,74,2637,-1,3.0,0.0
75,1,75,3613,1,5.0,5.0
76,1,76,1854,-1,5.0,3.0
77,1,77,1999,-1,5.0,3.0
78,1,78,1979,-1,5.0,0.0
79,1,79,1987,-1,5.0,0.0
80,1,80,2166,-1,4.0,0.0
81,1,81,2263,-1,5.0,3.0
82,1,82,1491,1,0.0,3.0
83,1,83,1697,-1,0.0,1.0
84,1,84,2250,1,3.0,4.0
85,1,85,2017,-1,4.0,1.0
86,1,86,2098,1,4.0,4.0
87,1,87,1744,-1,5.0,1.0
88,1,88,2002,-1,4.0,4.0
89,1,89,2099,-1,5.0,0.0
90,1,90,4340,-1,2.0,4.0
91,1,91,2085,1,3.0,4.0
92,1,92,2755,1,3.0,5.0
93,1,93,2265,-1,5.0,4.0
94,1,94,1866,1,1.0,4.0
95,1,95,2166,-1,4.0,0.0
96,1,96,4828,1,1.0,0.0
97,1,97,2376,-1,5.0,0.0
98,1,98,2106,-1,5.0,4.0
99,1,99,2328,-1,4.0,1.0
100,1,100,4574,-1,5.0,4.0
101,1,101,1708,1,0.0,2.0
102,1,102,1739,1,0.0,4.0
103,1,103,1466,1,0.0,0.0
104,1,104,4432,-1,4.0,5.0
105,1,105,1759,1,0.0,5.0
106,1,106,1533,1,0.0,5.0
107,1,107,1556,-1,1.0,0.0
108,1,108,1545,-1,3.0,3.0
109,1,109,1291,1,4.0,5.0
110,1,110,1544,1,2.0,3.0
111,1,111,4190,1,0.0,0.0
112,1,112,1712,1,0.0,4.0
113,1,113,2958,1,3.0,0.0
114,1,114,1618,-1,5.0,0.0
115,1,115,1474,-1,5.0,4.0
116,1,116,1715,-1,5.0,1.0
117,1,117,1819,1,0.0,0.0
118,1,118,1454,1,0.0,0.0
119,1,119,3480,-1,0.0,0.0
120,2,0,3113,1,5.0,5.0
121,2,1,4273,1,0.0,5.0
122,2,2,2400,-1,5.0,0.0
123,2,3,2710,1,2.0,5.0
124,2,4,3446,-1,5.0,0.0
125,2,5,3993,-1,5.0,5.0
126,2,6,2389,-1,5.0,0.0
127,2,7,1404,-1,0.0,0.0
128,2,8,3249,1,0.0,0.0
129,2,9,1822,-1,2.0,0.0
130,2,10,1994,-1,0.0,0.0
131,2,11,2700,-1,5.0,0.0
