,parcode,trial,fix_item,fix_time
0,1,0,3,313
1,1,0,1,552
2,1,0,2,732
3,1,0,1,412
4,1,1,3,249
5,1,1,1,576
6,1,1,2,742
7,1,1,1,1804
8,1,2,3,290
9,1,2,1,630
10,1,2,2,780
11,1,3,3,264
12,1,3,1,630
13,1,3,2,1086
14,1,3,1,1178
15,1,3,2,1058
16,1,3,1,2026
17,1,3,2,1224
18,1,4,3,258
19,1,4,1,864
20,1,4,2,767
21,1,5,3,230
22,1,5,0,124
23,1,5,1,694
24,1,5,2,1179
25,1,6,3,230
26,1,6,1,682
27,1,6,2,2086
28,1,6,1,1261
29,1,7,3,231
30,1,7,1,1598
31,1,7,2,1078
32,1,7,1,598
33,1,8,3,232
34,1,8,1,778
35,1,8,2,1092
36,1,8,1,446
37,1,9,3,186
38,1,9,1,1140
39,1,9,2,784
40,1,9,1,628
41,1,9,2,488
42,1,10,3,247
43,1,10,1,582
44,1,10,2,1100
45,1,10,1,1098
46,1,10,2,914
47,1,10,1,663
48,1,11,3,241
49,1,11,1,998
50,1,11,2,1592
51,1,11,1,2140
52,1,11,2,602
53,1,11,1,760
54,1,12,3,212
55,1,12,1,704
56,1,12,2,736
57,1,12,1,1346
58,1,12,2,1550
59,1,12,1,1168
60,1,13,3,246
61,1,13,1,1194
62,1,13,2,940
63,1,13,1,1182
64,1,14,3,215
65,1,14,1,866
66,1,14,2,924
67,1,14,1,442
68,1,15,3,227
69,1,15,1,674
70,1,15,2,1219
71,1,16,3,268
72,1,16,1,684
73,1,16,2,1284
74,1,16,1,600
75,1,16,2,164
76,1,16,1,170
77,1,16,2,512
78,1,16,1,1628
79,1,16,0,182
80,1,16,1,712
81,1,16,2,728
82,1,17,3,180
83,1,17,1,632
84,1,17,2,1422
85,1,17,1,1144
86,1,17,2,896
87,1,18,3,225
88,1,18,1,970
89,1,18,2,1070
90,1,18,1,1330
91,1,18,2,1638
92,1,18,1,1621
93,1,19,3,228
94,1,19,1,732
95,1,19,2,1796
96,1,19,1,1812
97,1,19,2,352
98,1,19,1,1778
99,1,20,3,250
100,1,20,1,752
101,1,20,2,1190
102,1,20,1,721
103,1,21,3,213
104,1,21,1,1036
105,1,21,2,884
106,1,21,1,1328
107,1,21,2,602
108,1,21,1,450
109,1,22,3,299
110,1,22,1,676
111,1,22,2,1135
112,1,23,3,274
113,1,23,1,558
114,1,23,0,374
115,1,23,2,1222
116,1,23,1,957
117,1,24,3,261
118,1,24,1,754
119,1,24,2,1441
120,1,25,3,239
121,1,25,1,656
122,1,25,2,846
123,1,25,1,395
124,1,26,3,238
125,1,26,1,634
126,1,26,2,874
127,1,26,1,852
128,1,26,2,1538
129,1,26,1,1514
130,1,26,0,428
131,1,26,2,932
132,1,27,3,258
133,1,27,1,684
134,1,27,2,2624
135,1,27,1,1218
136,1,28,3,234
137,1,28,1,904
138,1,28,2,1559
139,1,29,3,214
140,1,29,1,768
141,1,29,2,938
142,1,29,1,662
143,1,29,2,2072
144,1,30,3,261
145,1,30,1,674
146,1,30,2,981
147,1,31,3,283
148,1,31,1,698
149,1,31,2,662
150,1,31,1,390
151,1,32,3,237
152,1,32,1,556
153,1,32,2,648
154,1,33,3,225
155,1,33,1,734
156,1,33,2,642
157,1,33,1,364
158,1,33,2,162
159,1,33,1,914
160,1,33,2,538
161,1,34,3,229
162,1,34,1,1066
163,1,34,2,1254
164,1,34,1,952
165,1,34,2,1488
166,1,34,1,1550
167,1,34,0,264
168,1,34,1,574
169,1,35,3,246
170,1,35,1,852
171,1,35,2,1242
172,1,35,1,581
173,1,36,3,241
174,1,36,1,786
175,1,36,2,2014
