subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1
0,0,2009,0,0,0,0.568396226,0.431603774
0,1,3371,0,5,4,0.762331839,0.237668161
0,2,1700,1,0,5,0.446808511,0.553191489
0,3,7466,1,1,2,0.532352124,0.467647876
0,4,1889,1,5,5,0.529736358,0.470263642
0,5,2227,1,4,4,0.370528564,0.629471436
0,6,4259,0,4,0,0.482253661,0.517746339
0,7,3505,0,3,0,0.670739157,0.329260843
0,8,2548,0,3,0,0.528497409,0.471502591
0,9,3226,1,0,5,0.581578947,0.418421053
0,10,4604,0,4,0,0.537755336,0.462244664
0,11,6333,0,0,5,0.639855548,0.360144452
0,12,5716,0,0,0,0.584665698,0.415334302
0,13,3562,0,5,0,0.716525935,0.283474065
0,14,2447,0,4,0,0.586021505,0.413978495
0,15,2120,1,1,4,0.3560486,0.6439514
0,16,6932,1,5,5,0.585313175,0.414686825
0,17,4274,1,1,4,0.433805569,0.566194431
0,18,6854,0,4,2,0.591491929,0.408508071
0,19,6698,0,0,0,0.668006182,0.331993818
0,20,2913,0,0,0,0.553135561,0.446864439
0,21,4513,0,4,3,0.654418605,0.345581395
0,22,2110,1,4,5,0.373274434,0.626725566
0,23,3385,0,4,2,0.553525758,0.446474242
0,24,2456,1,2,5,0.343507973,0.656492027
0,25,2136,0,4,4,0.554032683,0.445967317
0,26,7010,1,0,3,0.472887768,0.527112232
0,27,4784,0,0,0,0.420238621,0.579761379
0,28,2697,1,0,3,0.367032075,0.632967925
0,29,4654,1,1,3,0.322072072,0.677927928
0,30,1916,1,3,5,0.407250755,0.592749245
0,31,2033,0,4,1,0.621714286,0.378285714
0,32,1441,1,0,4,0.46179402,0.53820598
0,33,3579,1,0,1,0.599880739,0.400119261
0,34,7377,1,4,5,0.601685067,0.398314933
0,35,2921,0,5,4,0.535700935,0.464299065
0,36,6398,0,3,5,0.59428293,0.40571707
0,37,2919,1,0,4,0.295884316,0.704115684
0,38,4737,0,3,4,0.549408878,0.450591122
0,39,3459,0,4,0,0.511398644,0.488601356
0,40,3454,1,4,4,0.411978956,0.588021044
0,41,2478,1,4,3,0.45308311,0.54691689
0,42,1728,1,0,4,0.348913759,0.651086241
0,43,2014,0,4,4,0.587075575,0.412924425
0,44,519,1,0,0,1,0
0,45,5492,1,0,1,0.462857143,0.537142857
0,46,3216,1,0,4,0.490013316,0.509986684
0,47,2185,0,2,0,0.598774885,0.401225115
0,48,1467,0,5,5,0.573905863,0.426094137
0,49,1707,0,4,0,0.549703752,0.450296248
0,50,1472,1,0,3,0.385869565,0.614130435
0,51,2425,0,5,0,0.530546624,0.469453376
0,52,5621,1,5,3,0.476261128,0.523738872
0,53,3216,1,0,3,0.594450017,0.405549983
0,54,3167,1,0,5,0.434336525,0.565663475
0,55,1939,0,0,0,0.603062426,0.396937574
0,56,2066,0,3,2,0.571274298,0.428725702
0,57,1561,1,1,5,0.441441441,0.558558559
0,58,2037,0,4,3,0.617021277,0.382978723
0,59,3620,1,4,5,0.512835645,0.487164355
0,60,1235,1,0,4,0.499001996,0.500998004
0,61,3726,1,2,4,0.646769052,0.353230948
0,62,1764,1,1,0,0.317232376,0.682767624
0,63,4016,0,5,2,0.479332669,0.520667331
