,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1
0,1,0,3327,1,0.95,2.0,0.7454145267791636,0.2545854732208364
1,1,1,3424,1,2.3,1.7,0.4107198504206918,0.5892801495793082
2,1,2,3691,1,1.7,1.25,0.3305489260143198,0.6694510739856802
3,1,3,8144,0,1.55,2.3,0.5923449993446062,0.4076550006553939
4,1,4,6559,0,2.0,2.0,0.6417173877282448,0.35828261227175523
5,1,5,5595,0,0.65,1.25,0.7440158259149358,0.2559841740850643
6,1,6,2470,1,1.55,1.1,0.32972972972972975,0.6702702702702703
7,1,7,6091,1,0.95,0.65,0.3638968481375358,0.6361031518624641
8,1,8,4669,1,1.55,1.7,0.4194312796208531,0.580568720379147
9,1,9,4001,1,2.0,1.1,0.16995708154506436,0.8300429184549356
10,1,10,3301,0,1.1,1.1,0.60507851653859,0.39492148346141
11,1,11,2867,0,1.4,2.0,0.5915057915057915,0.4084942084942085
12,1,12,3117,1,1.85,1.1,0.5066018068102849,0.49339819318971506
13,1,13,10424,1,1.7,2.0,0.5531153731491603,0.4468846268508397
14,1,14,2754,0,1.25,1.55,0.5966319165998396,0.4033680834001604
15,1,15,5836,1,2.0,1.7,0.4921973094170404,0.5078026905829597
16,1,16,3931,1,1.85,1.7,0.33839235525576167,0.6616076447442384
17,1,17,3602,1,1.55,0.8,0.41687041564792177,0.5831295843520783
18,1,18,5674,0,1.7,1.4,0.41065482796892344,0.5893451720310766
19,1,19,2567,1,1.7,1.1,0.25956284153005466,0.7404371584699454
20,1,20,2097,0,1.1,1.55,0.646866485013624,0.353133514986376
21,1,21,3641,0,0.95,0.8,0.5448642266824085,0.4551357733175915
22,1,22,4550,1,1.7,1.55,0.5587102983638114,0.44128970163618864
23,1,23,2973,1,1.7,1.4,0.23994147768836868,0.7600585223116313
24,1,24,2824,0,1.25,1.7,0.48939512961508247,0.5106048703849175
25,1,25,3643,0,2.0,2.3,0.6381011097410604,0.36189889025893957
26,1,26,2188,1,1.85,0.65,0.39021852237252863,0.6097814776274714
27,1,27,3321,1,1.85,1.1,0.3006154842889537,0.6993845157110463
28,1,28,6784,0,1.85,2.0,0.5302797417768214,0.4697202582231786
29,1,29,2314,0,1.1,2.3,0.4654919236417034,0.5345080763582967
30,1,30,2952,0,1.1,2.0,0.7004504504504504,0.29954954954954954
31,1,31,8388,0,1.25,1.4,0.5330558276199804,0.46694417238001956
32,1,32,5341,1,1.25,1.85,0.5970149253731343,0.40298507462686567
33,1,33,2183,1,1.1,0.95,0.3353183692166743,0.6646816307833256
34,1,34,3207,0,0.95,1.85,0.4355165428764348,0.5644834571235652
35,1,35,3224,1,1.1,1.55,0.34407173696446364,0.6559282630355364
36,1,36,3476,1,1.7,1.85,0.601593625498008,0.398406374501992
37,1,37,2295,0,0.65,1.7,0.6331707317073171,0.3668292682926829
38,1,38,3513,0,1.55,2.3,0.595478154598228,0.40452184540177205
39,1,39,4458,1,1.1,0.95,0.4380952380952381,0.5619047619047619
40,1,40,2348,1,1.55,1.1,0.438570729319628,0.561429270680372
41,1,41,2809,0,1.4,1.7,0.7326388888888888,0.2673611111111111
42,1,42,1992,0,1.1,1.7,0.6566666666666666,0.3433333333333333
43,1,43,1534,1,1.85,0.95,0.38396349413298564,0.6160365058670143
44,1,44,3023,0,0.95,2.3,0.5883411299028427,0.41165887009715724
45,1,45,3452,0,2.0,2.0,0.6389578163771712,0.3610421836228288
46,1,46,3961,1,2.0,1.55,0.4413422818791946,0.5586577181208053
47,1,47,2636,1,2.0,1.1,0.46478279207085615,0.5352172079291438
48,1,48,1898,1,2.0,1.1,0.45309734513274336,0.5469026548672566
49,1,49,1725,1,2.3,1.1,0.4728005372733378,0.5271994627266622
50,1,50,4336,1,2.3,2.0,0.5148563078421822,0.48514369215781783
51,1,51,2037,0,0.95,1.1,0.650561797752809,0.349438202247191
52,1,52,2479,0,0.35,1.85,0.5815193247445579,0.418480675255442
53,1,53,3389,1,2.3,1.55,0.45591939546599497,0.5440806045340051
54,1,54,2339,0,1.7,2.0,0.5335554497858163,0.46644455021418374
55,1,55,3609,0,1.85,1.85,0.6995835812016656,0.3004164187983343
56,1,56,7371,1,2.3,1.55,0.5738539898132428,0.42614601018675724
57,1,57,2520,0,1.55,2.0,0.6841269841269841,0.31587301587301586
58,1,58,1761,1,2.0,1.4,0.42412193505632867,0.5758780649436713
59,1,59,2593,1,1.85,1.7,0.2520016856300042,0.7479983143699958
60,1,60,5772,1,1.55,1.1,0.667270094134685,0.332729905865315
61,1,61,1945,0,1.1,1.85,0.5667372881355932,0.4332627118644068
62,1,62,1621,1,1.1,0.35,0.400278940027894,0.599721059972106
63,1,63,2952,1,1.55,1.4,0.4936108068638189,0.5063891931361811
64,1,64,2725,0,1.25,2.0,0.6933062880324543,0.30669371196754563
65,1,65,2591,0,1.1,1.55,0.6628352490421456,0.3371647509578544
66,1,66,3523,1,1.4,1.1,0.425402613187481,0.574597386812519
67,1,67,7082,0,1.25,1.1,0.5362106803218727,0.4637893196781273
68,1,68,4066,1,1.55,1.25,0.4338831422980151,0.5661168577019849
69,1,69,2602,0,1.25,2.0,0.7312286689419796,0.2687713310580205
70,1,70,3239,1,1.4,1.25,0.45153846153846156,0.5484615384615384
71,1,71,1943,0,1.55,1.55,0.6075874333135743,0.3924125666864256
72,1,72,3627,0,1.85,2.0,0.6476530005941771,0.3523469994058229
73,1,73,6245,0,1.7,1.55,0.5672339005672339,0.4327660994327661
74,1,74,4574,1,1.85,1.55,0.639446366782007,0.36055363321799305
75,1,75,4327,1,1.7,0.65,0.547434656340755,0.45256534365924495
76,1,76,6247,0,1.1,2.0,0.6004482151432687,0.3995517848567312
77,1,77,2353,0,1.1,1.25,0.5872563005230623,0.41274369947693773
78,1,78,4758,0,0.95,1.55,0.6543037088873338,0.3456962911126662
79,1,79,2715,0,1.1,1.85,0.7035843737414418,0.2964156262585582
80,1,80,1573,0,0.35,1.1,0.7260677466863034,0.27393225331369664
81,1,81,1712,1,1.85,1.85,0.4263888888888889,0.5736111111111111
82,1,82,2040,0,1.55,1.7,0.5551839464882943,0.44481605351170567
83,1,83,2372,1,2.0,1.85,0.41935483870967744,0.5806451612903226
84,1,84,4185,0,2.0,1.7,0.5072974333165576,0.49270256668344237
85,1,85,3429,1,1.1,1.25,0.4495929868503444,0.5504070131496556
86,1,86,2044,0,1.4,1.55,0.5681175805539853,0.4318824194460147
87,1,87,2542,1,2.0,0.95,0.4987057808455565,0.5012942191544435
88,1,88,1576,1,2.0,1.25,0.4302496328928047,0.5697503671071953
89,1,89,2497,0,1.1,1.1,0.5053097345132743,0.4946902654867257
90,1,90,2511,1,1.85,1.1,0.37331007413868295,0.626689925861317
91,1,91,1564,1,1.55,1.55,0.40786598689002185,0.5921340131099782
92,1,92,1616,1,1.55,0.95,0.4101818181818182,0.5898181818181818
93,1,93,2987,1,2.0,1.7,0.5226860254083484,0.47731397459165154
94,1,94,3625,0,1.7,2.0,0.5577035735207967,0.44229642647920325
95,1,95,2226,0,1.1,2.0,0.5012370113805047,0.4987629886194953
96,1,96,2179,0,0.8,1.55,0.5317829457364341,0.4682170542635659
97,1,97,1847,0,0.65,1.85,0.6304347826086957,0.3695652173913043
98,1,98,1569,1,1.25,0.65,0.6050420168067226,0.3949579831932773
99,1,99,2371,0,1.1,2.0,0.65191447041273,0.34808552958727
100,1,100,2482,0,1.1,1.85,0.4371474617244158,0.5628525382755842
101,1,101,2747,0,0.95,1.1,0.6044391597304796,0.39556084026952043
102,1,102,2918,1,2.0,1.55,0.3980509745127436,0.6019490254872564
103,1,103,3706,1,2.0,1.85,0.4560172692930383,0.5439827307069617
104,1,104,3625,1,2.0,1.1,0.4097877358490566,0.5902122641509434
105,1,105,3938,0,0.8,0.95,0.4400711020822753,0.5599288979177247
106,1,106,2329,0,0.65,0.95,0.41047659939888365,0.5895234006011164
107,1,107,2028,0,1.25,1.7,0.5089086859688196,0.4910913140311804
108,1,108,1665,1,1.85,0.35,0.3360655737704918,0.6639344262295082
109,1,109,1580,1,2.3,0.95,0.4147257700976709,0.585274229902329
110,1,110,4189,0,1.7,2.3,0.49391262831224636,0.5060873716877536
111,1,111,2626,0,1.7,1.85,0.605,0.395
112,1,112,3783,1,1.7,1.25,0.4861556397551734,0.5138443602448266
113,1,113,2920,0,1.55,2.0,0.5605001838911364,0.4394998161088636
114,1,114,4843,0,1.25,1.1,0.5150992234685073,0.48490077653149266
115,1,115,5275,0,1.4,1.7,0.513175355450237,0.48682464454976304
116,1,116,5630,0,1.1,1.4,0.503235348493252,0.49676465150674803
117,1,117,1871,1,2.0,1.25,0.5843843843843843,0.4156156156156156
118,1,118,4173,1,1.85,1.25,0.5408032744947557,0.4591967255052443
119,1,119,2828,0,1.55,1.85,0.4998062766369624,0.5001937233630376
120,2,0,4960,0,0.2,0.5,0.4910492292391845,0.5089507707608155
121,2,1,6438,0,0.5,0.65,0.272207267833109,0.727792732166891
122,2,2,5125,0,0.2,0.65,0.4724877841512641,0.527512215848736
123,2,3,4268,0,0.2,0.5,0.368720870015536,0.631279129984464
124,2,4,4726,1,0.5,0.35,0.5191381495564005,0.48086185044359947
125,2,5,5392,1,0.5,0.35,0.3064798598949212,0.6935201401050788
126,2,6,3471,1,0.2,0.0,0.42005185825410546,0.5799481417458946
127,2,7,4299,1,0.5,0.35,0.4434030281182408,0.5565969718817592
128,2,8,4299,1,0.5,0.5,0.44731332868108864,0.5526866713189114
129,2,9,4088,0,0.5,0.65,0.25146771037182,0.7485322896281801
130,2,10,3147,0,0.0,0.2,0.5452252252252252,0.4547747747747748
131,2,11,3923,0,0.0,0.2,0.2801427478970176,0.7198572521029825
132,2,12,3889,0,0.35,0.65,0.6616096682951915,0.3383903317048084
133,2,13,4426,0,0.0,0.2,0.6626751016719385,0.33732489832806145
134,2,14,3035,1,0.65,0.0,0.5304777594728172,0.4695222405271829
135,2,15,4915,1,0.2,0.2,0.6966429298067142,0.30335707019328584
136,2,16,5395,1,0.5,0.35,0.3663852346357746,0.6336147653642255
137,2,17,5623,1,0.35,0.65,0.6249333096211986,0.37506669037880136
138,2,18,6208,1,0.35,0.2,0.34697164948453607,0.6530283505154639
139,2,19,2323,1,0.2,0.0,0.3521308652604391,0.6478691347395609
140,2,20,3491,0,0.35,0.2,0.7052420509882555,0.2947579490117445
141,2,21,5468,1,0.65,0.2,0.4233723482077542,0.5766276517922458
142,2,22,6446,0,0.5,0.65,0.3201985727582997,0.6798014272417002
143,2,23,4541,1,0.35,0.35,0.6989055739373886,0.30109442606261133
144,2,24,3991,0,0.0,0.8,0.2168102168102168,0.7831897831897832
145,2,25,4235,0,0.5,0.65,0.35199540625897213,0.6480045937410278
146,2,26,5489,1,0.65,0.65,0.45691382765531063,0.5430861723446894
147,2,27,6380,0,0.5,0.8,0.5087774294670846,0.49122257053291535
148,2,28,3385,1,0.5,0.05,0.25228951255539145,0.7477104874446086
149,2,29,4479,1,0.5,0.5,0.47622237106496984,0.5237776289350301
150,2,30,3546,0,0.2,0.65,0.2975183305132544,0.7024816694867456
151,2,31,3266,1,0.8,0.2,0.752908756889161,0.24709124311083894
152,2,32,2267,1,0.2,0.05,0.5319805910895457,0.46801940891045435
153,2,33,3808,0,0.2,0.35,0.22767857142857142,0.7723214285714286
154,2,34,4033,0,0.65,0.35,0.31812546491445576,0.6818745350855443
155,2,35,3093,0,0.2,0.5,0.39961202715809896,0.600387972841901
156,2,36,3486,1,0.05,0.35,0.41881812966150317,0.5811818703384969
157,2,37,5401,0,0.05,0.5,0.5750786891316423,0.4249213108683577
158,2,38,2833,0,0.5,0.05,0.7183198023296858,0.28168019767031416
159,2,39,1746,0,0.0,0.5,0.48625429553264604,0.5137457044673539
