,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
0,0,0,1,3327,0.0,5.0,0.7454145267791636,0.2545854732208364
2,0,2,1,3691,4.0,1.0,0.3305489260143198,0.6694510739856802
4,0,4,0,6559,5.0,5.0,0.6417173877282448,0.35828261227175523
6,0,6,1,2470,3.0,0.0,0.3297297297297297,0.6702702702702703
8,0,8,1,4669,3.0,4.0,0.4194312796208531,0.580568720379147
10,0,10,0,3301,0.0,0.0,0.60507851653859,0.39492148346141
12,0,12,1,3117,4.0,0.0,0.5066018068102849,0.4933981931897151
14,0,14,0,2754,1.0,3.0,0.5966319165998396,0.4033680834001604
16,0,16,1,3931,4.0,4.0,0.3383923552557617,0.6616076447442384
18,0,18,0,5674,4.0,2.0,0.41065482796892333,0.5893451720310766
20,0,20,0,2097,0.0,3.0,0.6468664850136241,0.353133514986376
22,0,22,1,4550,4.0,3.0,0.5587102983638114,0.44128970163618864
24,0,24,0,2824,1.0,4.0,0.4893951296150825,0.5106048703849175
26,0,26,1,2188,4.0,0.0,0.39021852237252863,0.6097814776274714
28,0,28,0,6784,4.0,5.0,0.5302797417768214,0.4697202582231786
30,0,30,0,2952,0.0,5.0,0.7004504504504504,0.29954954954954954
32,0,32,1,5341,1.0,4.0,0.5970149253731343,0.4029850746268657
34,0,34,0,3207,0.0,4.0,0.4355165428764348,0.5644834571235652
36,0,36,1,3476,4.0,4.0,0.6015936254980079,0.398406374501992
38,0,38,0,3513,3.0,5.0,0.5954781545982281,0.4045218454017721
40,0,40,1,2348,3.0,0.0,0.438570729319628,0.5614292706803721
42,0,42,0,1992,0.0,4.0,0.6566666666666666,0.3433333333333333
44,0,44,0,3023,0.0,5.0,0.5883411299028427,0.4116588700971573
46,0,46,1,3961,5.0,3.0,0.4413422818791946,0.5586577181208053
48,0,48,1,1898,5.0,0.0,0.4530973451327434,0.5469026548672566
50,0,50,1,4336,5.0,5.0,0.5148563078421822,0.4851436921578178
52,0,52,0,2479,0.0,4.0,0.5815193247445579,0.418480675255442
54,0,54,0,2339,4.0,5.0,0.5335554497858163,0.4664445502141837
56,0,56,1,7371,5.0,3.0,0.5738539898132428,0.4261460101867573
58,0,58,1,1761,5.0,2.0,0.4241219350563287,0.5758780649436713
60,0,60,1,5772,3.0,0.0,0.6672700941346851,0.33272990586531503
62,0,62,1,1621,0.0,0.0,0.400278940027894,0.5997210599721059
64,0,64,0,2725,1.0,5.0,0.6933062880324543,0.30669371196754563
66,0,66,1,3523,2.0,0.0,0.425402613187481,0.574597386812519
68,0,68,1,4066,3.0,1.0,0.4338831422980151,0.5661168577019849
70,0,70,1,3239,2.0,1.0,0.4515384615384616,0.5484615384615384
72,0,72,0,3627,4.0,5.0,0.6476530005941771,0.3523469994058229
74,0,74,1,4574,4.0,3.0,0.6394463667820071,0.36055363321799305
76,0,76,0,6247,0.0,5.0,0.6004482151432687,0.3995517848567312
78,0,78,0,4758,0.0,3.0,0.6543037088873338,0.3456962911126662
80,0,80,0,1573,0.0,0.0,0.7260677466863034,0.27393225331369664
82,0,82,0,2040,3.0,4.0,0.5551839464882943,0.4448160535117057
84,0,84,0,4185,5.0,4.0,0.5072974333165576,0.4927025666834424
86,0,86,0,2044,2.0,3.0,0.5681175805539853,0.4318824194460147
88,0,88,1,1576,5.0,1.0,0.4302496328928047,0.5697503671071953
90,0,90,1,2511,4.0,0.0,0.37331007413868295,0.626689925861317
92,0,92,1,1616,3.0,0.0,0.4101818181818182,0.5898181818181818
94,0,94,0,3625,4.0,5.0,0.5577035735207967,0.4422964264792033
96,0,96,0,2179,0.0,3.0,0.5317829457364341,0.4682170542635659
98,0,98,1,1569,1.0,0.0,0.6050420168067226,0.3949579831932773
100,0,100,0,2482,0.0,4.0,0.4371474617244158,0.5628525382755842
102,0,102,1,2918,5.0,3.0,0.3980509745127436,0.6019490254872564
104,0,104,1,3625,5.0,0.0,0.4097877358490566,0.5902122641509434
106,0,106,0,2329,0.0,0.0,0.4104765993988837,0.5895234006011164
108,0,108,1,1665,4.0,0.0,0.3360655737704918,0.6639344262295082
110,0,110,0,4189,4.0,5.0,0.4939126283122464,0.5060873716877536
112,0,112,1,3783,4.0,1.0,0.4861556397551734,0.5138443602448266
114,0,114,0,4843,1.0,0.0,0.5150992234685073,0.4849007765314927
116,0,116,0,5630,0.0,2.0,0.503235348493252,0.496764651506748
118,0,118,1,4173,4.0,1.0,0.5408032744947557,0.4591967255052443
0,1,0,0,4960,0.0,5.0,0.4910492292391845,0.5089507707608155
2,1,2,0,5125,0.0,5.0,0.4724877841512641,0.527512215848736
4,1,4,1,4726,5.0,2.0,0.5191381495564005,0.4808618504435994
6,1,6,1,3471,0.0,0.0,0.4200518582541055,0.5799481417458946
8,1,8,1,4299,5.0,5.0,0.44731332868108864,0.5526866713189114
10,1,10,0,3147,0.0,0.0,0.5452252252252252,0.4547747747747748
12,1,12,0,3889,2.0,5.0,0.6616096682951915,0.3383903317048084
14,1,14,1,3035,5.0,0.0,0.5304777594728172,0.4695222405271829
16,1,16,1,5395,5.0,2.0,0.3663852346357746,0.6336147653642255
18,1,18,1,6208,2.0,0.0,0.3469716494845361,0.6530283505154639
20,1,20,0,3491,2.0,0.0,0.7052420509882555,0.2947579490117445
22,1,22,0,6446,5.0,5.0,0.3201985727582997,0.6798014272417002
24,1,24,0,3991,0.0,5.0,0.2168102168102168,0.7831897831897832
26,1,26,1,5489,5.0,5.0,0.4569138276553106,0.5430861723446894
28,1,28,1,3385,5.0,0.0,0.25228951255539145,0.7477104874446086
30,1,30,0,3546,0.0,5.0,0.2975183305132544,0.7024816694867456
32,1,32,1,2267,0.0,0.0,0.5319805910895457,0.4680194089104544
34,1,34,0,4033,5.0,2.0,0.31812546491445576,0.6818745350855443
36,1,36,1,3486,0.0,2.0,0.4188181296615032,0.5811818703384969
38,1,38,0,2833,5.0,0.0,0.7183198023296858,0.28168019767031416
40,1,40,1,2741,5.0,0.0,0.6046141607000796,0.3953858392999205
42,1,42,0,2803,0.0,0.0,0.6875811337083514,0.3124188662916486
44,1,44,0,2152,0.0,0.0,0.6900557620817844,0.3099442379182156
46,1,46,1,1979,5.0,2.0,0.5376452753916119,0.4623547246083881
48,1,48,0,1618,0.0,5.0,0.43139678615574784,0.5686032138442522
50,1,50,0,1384,2.0,5.0,0.5202312138728323,0.4797687861271676
52,1,52,1,1683,0.0,0.0,0.5918003565062389,0.4081996434937611
54,1,54,1,1539,5.0,5.0,0.5321637426900585,0.4678362573099415
56,1,56,0,1858,0.0,0.0,0.6858638743455497,0.31413612565445026
58,1,58,0,1867,5.0,5.0,0.6272094268880557,0.3727905731119443
60,1,60,0,2378,5.0,5.0,0.7249789739276703,0.2750210260723297
62,1,62,0,1414,0.0,0.0,0.4561527581329562,0.5438472418670438
64,1,64,1,1983,5.0,0.0,0.64851235501765,0.35148764498235
66,1,66,1,1400,5.0,0.0,0.5392857142857143,0.4607142857142857
