,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
0,0,0,0,2009,0.0,0.0,0.5683962264150944,0.4316037735849057
2,0,2,1,1700,0.0,5.0,0.44680851063829785,0.5531914893617021
4,0,4,1,1889,5.0,5.0,0.5297363580625383,0.4702636419374617
6,0,6,0,4259,4.0,0.0,0.4822536609580541,0.5177463390419459
8,0,8,0,2548,3.0,0.0,0.5284974093264249,0.4715025906735752
10,0,10,0,4604,4.0,0.0,0.5377553362405325,0.4622446637594675
12,0,12,0,5716,0.0,0.0,0.5846656976744186,0.4153343023255814
14,0,14,0,2447,4.0,0.0,0.5860215053763441,0.4139784946236559
16,0,16,1,6932,5.0,5.0,0.5853131749460043,0.4146868250539957
18,0,18,0,6854,4.0,2.0,0.5914919294011163,0.4085080705988837
20,0,20,0,2913,0.0,0.0,0.5531355613969208,0.4468644386030792
22,0,22,1,2110,4.0,5.0,0.3732744340143567,0.6267255659856433
24,0,24,1,2456,2.0,5.0,0.34350797266514804,0.6564920273348519
26,0,26,1,7010,0.0,3.0,0.4728877679697352,0.5271122320302648
28,0,28,1,2697,0.0,3.0,0.3670320747056435,0.6329679252943565
30,0,30,1,1916,3.0,5.0,0.40725075528700905,0.592749244712991
32,0,32,1,1441,0.0,4.0,0.4617940199335549,0.5382059800664452
34,0,34,1,7377,4.0,5.0,0.6016850668216154,0.3983149331783847
36,0,36,0,6398,3.0,5.0,0.5942829299983758,0.40571707000162416
38,0,38,0,4737,3.0,4.0,0.5494088779834932,0.4505911220165068
40,0,40,1,3454,4.0,4.0,0.4119789558883044,0.5880210441116956
42,0,42,1,1728,0.0,4.0,0.3489137590520079,0.6510862409479921
44,0,44,1,519,0.0,0.0,1.0,0.0
46,0,46,1,3216,0.0,4.0,0.4900133155792277,0.5099866844207723
48,0,48,0,1467,5.0,5.0,0.573905862923204,0.4260941370767961
50,0,50,1,1472,0.0,3.0,0.3858695652173913,0.6141304347826086
52,0,52,1,5621,5.0,3.0,0.4762611275964392,0.5237388724035609
54,0,54,1,3167,0.0,5.0,0.4343365253077976,0.5656634746922025
56,0,56,0,2066,3.0,2.0,0.5712742980561555,0.4287257019438445
58,0,58,0,2037,4.0,3.0,0.6170212765957447,0.3829787234042553
60,0,60,1,1235,0.0,4.0,0.499001996007984,0.500998003992016
62,0,62,1,1764,1.0,0.0,0.31723237597911225,0.6827676240208878
64,0,64,1,2365,0.0,5.0,0.5944751381215471,0.40552486187845305
66,0,66,0,5406,3.0,1.0,0.6913234706117553,0.3086765293882447
68,0,68,0,5198,2.0,1.0,0.6721840936616875,0.3278159063383125
70,0,70,1,3167,3.0,5.0,0.4742759795570698,0.5257240204429302
72,0,72,1,1655,4.0,5.0,0.4119743406985032,0.5880256593014968
74,0,74,0,2637,3.0,0.0,0.6473265073947668,0.35267349260523323
76,0,76,0,1854,5.0,3.0,0.5623441396508728,0.4376558603491272
78,0,78,0,1979,5.0,0.0,0.5795856493178373,0.4204143506821627
80,0,80,0,2166,4.0,0.0,0.4990766389658357,0.5009233610341643
82,0,82,1,1491,0.0,3.0,0.3560126582278481,0.6439873417721519
84,0,84,1,2250,3.0,4.0,0.4864864864864865,0.5135135135135135
86,0,86,1,2098,4.0,4.0,0.4841772151898734,0.5158227848101266
88,0,88,0,2002,4.0,4.0,0.5576496674057649,0.442350332594235
90,0,90,0,4340,2.0,4.0,0.5735520246027678,0.42644797539723217
92,0,92,1,2755,3.0,5.0,0.4603803486529319,0.5396196513470681
94,0,94,1,1866,1.0,4.0,0.3704615384615385,0.6295384615384615
96,0,96,1,4828,1.0,0.0,0.5331018016062513,0.4668981983937486
98,0,98,0,2106,5.0,4.0,0.6269757639620653,0.37302423603793466
100,0,100,0,4574,5.0,4.0,0.5535795713634291,0.4464204286365709
102,0,102,1,1739,0.0,4.0,0.38487060384870597,0.6151293961512939
104,0,104,0,4432,4.0,5.0,0.6622484045164457,0.3377515954835543
106,0,106,1,1533,0.0,5.0,0.31963470319634696,0.680365296803653
108,0,108,0,1545,3.0,3.0,0.5616858237547893,0.4383141762452107
110,0,110,1,1544,2.0,3.0,0.38830584707646176,0.6116941529235382
112,0,112,1,1712,0.0,4.0,0.37149532710280375,0.6285046728971962
114,0,114,0,1618,5.0,0.0,0.6592698639942735,0.3407301360057265
116,0,116,0,1715,5.0,1.0,0.5965494359654944,0.4034505640345056
118,0,118,1,1454,0.0,0.0,0.5261707988980716,0.4738292011019284
0,1,0,1,3113,5.0,5.0,0.5306273062730628,0.4693726937269373
2,1,2,0,2400,5.0,0.0,0.5558333333333333,0.44416666666666665
4,1,4,0,3446,5.0,0.0,0.5797527957622131,0.4202472042377869
6,1,6,0,2389,5.0,0.0,0.7425701130179991,0.2574298869820008
8,1,8,1,3249,0.0,0.0,0.41489689135118496,0.585103108648815
10,1,10,0,1994,0.0,0.0,0.5,0.5
12,1,12,0,1886,5.0,0.0,0.6521739130434783,0.3478260869565217
14,1,14,1,3299,0.0,5.0,0.19399818126705065,0.8060018187329494
16,1,16,0,2952,0.0,5.0,0.5711382113821138,0.42886178861788615
18,1,18,1,3498,0.0,0.0,0.961875,0.038125
20,1,20,1,2513,2.0,5.0,0.3745483741469289,0.625451625853071
22,1,22,0,3314,2.0,5.0,0.6790796245837117,0.3209203754162882
24,1,24,1,2393,5.0,5.0,0.3782135076252723,0.6217864923747277
26,1,26,0,3130,5.0,2.0,0.6718480138169257,0.3281519861830743
28,1,28,0,1777,5.0,0.0,0.3753517163759145,0.6246482836240855
30,1,30,0,2762,5.0,2.0,0.6525612472160356,0.3474387527839644
32,1,32,0,2631,5.0,5.0,0.7673888255416191,0.23261117445838084
34,1,34,1,2059,0.0,2.0,0.6298342541436464,0.3701657458563536
36,1,36,0,1721,5.0,0.0,0.39951573849878935,0.6004842615012107
38,1,38,1,2177,5.0,5.0,0.3863114377583831,0.6136885622416169
40,1,40,1,2362,0.0,5.0,0.34537246049661396,0.654627539503386
42,1,42,0,1769,5.0,0.0,0.6149279050042409,0.3850720949957591
44,1,44,1,1194,2.0,5.0,0.5293132328308208,0.4706867671691792
46,1,46,0,1716,5.0,5.0,0.6672494172494172,0.3327505827505827
48,1,48,1,1241,0.0,5.0,0.6365834004834809,0.36341659951651895
50,1,50,0,1160,2.0,0.0,0.6008620689655172,0.3991379310344828
52,1,52,0,1158,5.0,0.0,0.4740932642487047,0.5259067357512953
54,1,54,1,1069,0.0,5.0,0.5575304022450889,0.4424695977549111
56,1,56,1,1124,5.0,5.0,0.5800711743772242,0.4199288256227758
58,1,58,0,1020,5.0,0.0,0.5980392156862745,0.4019607843137255
60,1,60,0,1254,5.0,5.0,0.6403508771929824,0.35964912280701755
62,1,62,1,1184,0.0,2.0,0.5304054054054054,0.4695945945945946
64,1,64,0,2056,2.0,5.0,0.7621595330739299,0.23784046692607005
66,1,66,1,1123,2.0,5.0,0.5983971504897596,0.4016028495102405
68,1,68,0,1927,5.0,0.0,0.7690710949662688,0.2309289050337312
70,1,70,1,1177,0.0,5.0,0.5768903993203058,0.42310960067969416
72,1,72,1,1127,2.0,2.0,0.5625554569653949,0.4374445430346052
74,1,74,1,1574,2.0,5.0,0.6200762388818297,0.3799237611181703
76,1,76,1,1247,0.0,2.0,0.5942261427425822,0.4057738572574178
78,1,78,0,1163,5.0,0.0,0.6268271711092004,0.3731728288907997
80,1,80,1,1829,5.0,5.0,0.5049627791563276,0.4950372208436725
82,1,82,0,1335,5.0,0.0,0.5136842105263157,0.4863157894736842
84,1,84,0,1322,5.0,0.0,0.7100591715976331,0.28994082840236685
86,1,86,0,1385,5.0,0.0,0.5735849056603773,0.42641509433962266
88,1,88,1,1358,0.0,0.0,0.6273932253313697,0.3726067746686304
90,1,90,0,1382,0.0,0.0,0.6729559748427673,0.3270440251572327
92,1,92,0,1058,5.0,0.0,0.6049149338374291,0.3950850661625709
94,1,94,1,1057,0.0,5.0,0.586565752128666,0.413434247871334
96,1,96,0,1375,0.0,5.0,0.7032727272727273,0.29672727272727273
98,1,98,1,1925,0.0,0.0,0.826625386996904,0.17337461300309598
100,1,100,1,1320,2.0,5.0,0.6757575757575758,0.3242424242424242
102,1,102,0,1506,2.0,5.0,0.7149917627677099,0.28500823723229
104,1,104,1,959,5.0,5.0,0.5610010427528676,0.4389989572471325
106,1,106,0,1176,5.0,2.0,0.657312925170068,0.342687074829932
108,1,108,0,1045,5.0,0.0,0.6153110047846889,0.384688995215311
110,1,110,0,1112,5.0,2.0,0.6447841726618705,0.3552158273381295
112,1,112,0,1188,5.0,5.0,0.7142857142857143,0.2857142857142857
114,1,114,1,1345,0.0,2.0,0.7703435804701627,0.2296564195298373
116,1,116,0,816,5.0,0.0,0.4987745098039216,0.5012254901960784
118,1,118,1,1032,5.0,5.0,0.627906976744186,0.372093023255814
0,2,0,0,4138,2.0,1.0,0.7437384655945162,0.25626153440548377
2,2,2,0,1521,2.0,2.0,0.5753526354862658,0.4246473645137343
4,2,4,1,1921,2.0,4.0,0.367989918084436,0.632010081915564
6,2,6,0,3630,2.0,2.0,0.278130409694172,0.7218695903058281
8,2,8,0,5770,4.0,3.0,0.2689579923622477,0.7310420076377523
10,2,10,0,1616,2.0,1.0,0.594059405940594,0.405940594059406
