,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
0,0,0,1,3327,2.05,1.0,0.745414527,0.254585473
2,0,2,1,3691,1.3,1.75,0.330548926,0.669451074
4,0,4,0,6559,1.0,1.0,0.641717388,0.35828261200000006
6,0,6,1,2470,1.45,1.9,0.32972973,0.67027027
8,0,8,1,4669,1.45,1.3,0.41943128,0.58056872
10,0,10,0,3301,1.9,1.9,0.605078517,0.39492148299999996
12,0,12,1,3117,1.15,1.9,0.506601807,0.493398193
14,0,14,0,2754,1.75,1.45,0.5966319170000001,0.403368083
16,0,16,1,3931,1.15,1.3,0.338392355,0.661607645
18,0,18,0,5674,1.3,1.6,0.41065482799999997,0.589345172
20,0,20,0,2097,1.9,1.45,0.646866485,0.353133515
22,0,22,1,4550,1.3,1.45,0.5587102979999999,0.441289702
24,0,24,0,2824,1.75,1.3,0.48939513,0.51060487
26,0,26,1,2188,1.15,2.35,0.390218522,0.6097814779999999
28,0,28,0,6784,1.15,1.0,0.530279742,0.46972025799999995
30,0,30,0,2952,1.9,1.0,0.70045045,0.29954955
32,0,32,1,5341,1.75,1.15,0.597014925,0.402985075
34,0,34,0,3207,2.05,1.15,0.435516543,0.564483457
36,0,36,1,3476,1.3,1.15,0.601593625,0.398406375
38,0,38,0,3513,1.45,0.7,0.595478155,0.404521845
40,0,40,1,2348,1.45,1.9,0.438570729,0.5614292710000001
42,0,42,0,1992,1.9,1.3,0.656666667,0.34333333299999996
44,0,44,0,3023,2.05,0.7,0.58834113,0.41165887
46,0,46,1,3961,1.0,1.45,0.44134228200000003,0.558657718
48,0,48,1,1898,1.0,1.9,0.453097345,0.546902655
50,0,50,1,4336,0.7,1.0,0.5148563079999999,0.485143692
52,0,52,0,2479,2.65,1.15,0.581519325,0.418480675
54,0,54,0,2339,1.3,1.0,0.53355545,0.46644455
56,0,56,1,7371,0.7,1.45,0.57385399,0.42614601
58,0,58,1,1761,1.0,1.6,0.424121935,0.575878065
60,0,60,1,5772,1.45,1.9,0.667270094,0.332729906
62,0,62,1,1621,1.9,2.65,0.40027894,0.59972106
64,0,64,0,2725,1.75,1.0,0.6933062879999999,0.306693712
66,0,66,1,3523,1.6,1.9,0.425402613,0.5745973870000001
68,0,68,1,4066,1.45,1.75,0.43388314200000005,0.566116858
70,0,70,1,3239,1.6,1.75,0.45153846200000003,0.548461538
72,0,72,0,3627,1.15,1.0,0.647653001,0.352346999
74,0,74,1,4574,1.15,1.45,0.639446367,0.360553633
76,0,76,0,6247,1.9,1.0,0.600448215,0.399551785
78,0,78,0,4758,2.05,1.45,0.654303709,0.345696291
80,0,80,0,1573,2.65,1.9,0.726067747,0.273932253
82,0,82,0,2040,1.45,1.3,0.555183946,0.44481605399999996
84,0,84,0,4185,1.0,1.3,0.507297433,0.49270256700000004
86,0,86,0,2044,1.6,1.45,0.568117581,0.43188241899999996
88,0,88,1,1576,1.0,1.75,0.43024963299999996,0.569750367
90,0,90,1,2511,1.15,1.9,0.373310074,0.6266899260000001
92,0,92,1,1616,1.45,2.05,0.410181818,0.589818182
94,0,94,0,3625,1.3,1.0,0.557703574,0.442296426
96,0,96,0,2179,2.2,1.45,0.531782946,0.46821705399999997
98,0,98,1,1569,1.75,2.35,0.605042017,0.39495798299999996
100,0,100,0,2482,1.9,1.15,0.43714746200000004,0.562852538
102,0,102,1,2918,1.0,1.45,0.398050975,0.601949025
104,0,104,1,3625,1.0,1.9,0.409787736,0.5902122639999999
106,0,106,0,2329,2.35,2.05,0.410476599,0.589523401
108,0,108,1,1665,1.15,2.65,0.336065574,0.663934426
110,0,110,0,4189,1.3,0.7,0.49391262799999996,0.506087372
112,0,112,1,3783,1.3,1.75,0.48615564,0.51384436
114,0,114,0,4843,1.75,1.9,0.515099223,0.484900777
116,0,116,0,5630,1.9,1.6,0.5032353479999999,0.49676465200000003
118,0,118,1,4173,1.15,1.75,0.540803274,0.459196726
0,1,0,0,4960,2.8,2.5,0.491049229,0.508950771
2,1,2,0,5125,2.8,2.35,0.47248778399999997,0.527512216
4,1,4,1,4726,2.5,2.65,0.51913815,0.48086185
6,1,6,1,3471,2.8,3.0,0.42005185799999994,0.579948142
8,1,8,1,4299,2.5,2.5,0.447313329,0.552686671
10,1,10,0,3147,3.0,2.8,0.545225225,0.454774775
12,1,12,0,3889,2.65,2.35,0.661609668,0.338390332
14,1,14,1,3035,2.35,3.0,0.5304777589999999,0.469522241
16,1,16,1,5395,2.5,2.65,0.366385235,0.633614765
18,1,18,1,6208,2.65,2.8,0.346971649,0.653028351
20,1,20,0,3491,2.65,2.8,0.7052420509999999,0.29475794899999996
22,1,22,0,6446,2.5,2.35,0.320198573,0.679801427
24,1,24,0,3991,3.0,2.2,0.216810217,0.783189783
26,1,26,1,5489,2.35,2.35,0.45691382799999997,0.543086172
28,1,28,1,3385,2.5,2.95,0.252289513,0.747710487
30,1,30,0,3546,2.8,2.35,0.297518331,0.7024816690000001
32,1,32,1,2267,2.8,2.95,0.5319805910000001,0.468019409
34,1,34,0,4033,2.35,2.65,0.318125465,0.681874535
36,1,36,1,3486,2.95,2.65,0.41881813,0.58118187
38,1,38,0,2833,2.5,2.95,0.718319802,0.281680198
40,1,40,1,2741,2.5,2.8,0.604614161,0.39538583899999996
42,1,42,0,2803,2.95,2.8,0.6875811340000001,0.312418866
44,1,44,0,2152,2.8,2.8,0.6900557620000001,0.309944238
46,1,46,1,1979,2.5,2.65,0.537645275,0.462354725
48,1,48,0,1618,3.0,2.35,0.43139678600000003,0.568603214
50,1,50,0,1384,2.65,2.5,0.5202312139999999,0.479768786
52,1,52,1,1683,2.8,3.0,0.591800357,0.40819964299999995
54,1,54,1,1539,2.35,2.5,0.532163743,0.46783625700000003
56,1,56,0,1858,2.95,2.8,0.685863874,0.314136126
58,1,58,0,1867,2.35,2.35,0.627209427,0.37279057299999996
60,1,60,0,2378,2.35,2.5,0.7249789740000001,0.275021026
62,1,62,0,1414,3.0,2.8,0.456152758,0.543847242
64,1,64,1,1983,2.35,2.8,0.648512355,0.351487645
66,1,66,1,1400,2.5,2.8,0.539285714,0.46071428600000003
68,1,68,1,1291,2.35,2.8,0.707978311,0.292021689
70,1,70,1,2068,2.95,2.5,0.6160541589999999,0.383945841
72,1,72,0,1482,2.35,2.5,0.649122807,0.350877193
74,1,74,1,1763,2.95,2.8,0.7084515029999999,0.291548497
76,1,76,1,1831,2.95,2.5,0.517995766,0.482004234
78,1,78,1,1709,2.35,2.5,0.685196021,0.314803979
80,1,80,1,1524,2.8,3.0,0.44422572200000005,0.555774278
82,1,82,1,1901,2.8,2.95,0.517622304,0.482377696
84,1,84,1,1977,2.65,3.0,0.447876448,0.5521235520000001
86,1,86,1,4034,2.65,2.8,0.487437186,0.512562814
88,1,88,1,3360,2.35,2.8,0.42732049,0.57267951
90,1,90,0,2633,2.5,3.0,0.604255319,0.39574468100000004
92,1,92,0,1877,2.65,2.5,0.42947368399999997,0.570526316
94,1,94,0,1612,2.65,2.5,0.45815722700000006,0.5418427729999999
96,1,96,0,1411,2.8,2.35,0.42168674700000003,0.5783132529999999
98,1,98,1,1358,2.8,2.65,0.594256259,0.405743741
100,1,100,0,1297,2.2,2.5,0.753564155,0.246435845
102,1,102,0,2545,2.5,2.8,0.785282812,0.214717188
104,1,104,0,2018,2.5,2.35,0.628243814,0.371756186
106,1,106,0,1527,2.8,2.65,0.471380471,0.528619529
108,1,108,1,1160,2.5,2.35,0.606896552,0.39310344799999997
110,1,110,0,1057,2.8,2.35,0.7181818179999999,0.281818182
112,1,112,0,1373,2.5,2.5,0.699198835,0.300801165
114,1,114,0,1187,2.8,2.5,0.7142857140000001,0.28571428600000004
116,1,116,1,1063,2.35,2.8,0.609595484,0.39040451600000003
118,1,118,0,1220,2.8,2.65,0.5393442620000001,0.460655738
0,2,0,0,4203,1.9,0.7,0.6,0.4
2,2,2,0,4187,2.5,0.4,0.6759016,0.32409840000000006
4,2,4,1,3554,0.7,2.05,0.568156631,0.431843369
6,2,6,0,630,1.9,1.75,0.0,1.0
8,2,8,1,5328,2.35,3.0,0.377718428,0.622281572
10,2,10,0,2052,3.0,0.25,0.643910431,0.356089569
12,2,12,0,2769,1.0,0.0,0.59310987,0.40689013
14,2,14,1,6337,1.75,2.65,0.32317297100000003,0.676827029
16,2,16,1,2385,2.05,2.5,0.39667896700000005,0.603321033
18,2,18,1,2165,1.9,3.0,0.319710295,0.680289705
20,2,20,1,4543,3.0,3.0,0.613051471,0.386948529
22,2,22,1,3357,2.65,2.95,0.528830838,0.47116916200000003
24,2,24,1,3132,2.35,3.0,0.597516435,0.402483565
26,2,26,0,4247,0.0,0.7,0.39464136200000005,0.605358638
28,2,28,1,5040,2.65,1.9,0.35529111799999996,0.644708882
30,2,30,0,2413,2.8,1.05,0.7309833020000001,0.269016698
32,2,32,0,4277,1.75,2.65,0.45001193,0.54998807
34,2,34,1,1866,0.0,3.0,0.36870310799999995,0.631296892
36,2,36,0,4751,3.0,0.25,0.474636919,0.5253630810000001
38,2,38,1,2073,1.0,2.95,0.5959488270000001,0.404051173
40,2,40,0,1964,1.75,0.85,0.67311609,0.32688391
42,2,42,1,2812,1.75,2.8,0.398550725,0.601449275
44,2,44,1,1786,1.05,2.8,0.466405375,0.533594625
46,2,46,0,2207,3.0,2.65,0.6710929520000001,0.32890704800000004
48,2,48,1,5068,0.85,2.5,0.44973876700000004,0.550261233
50,2,50,1,4139,2.5,1.3,0.35788408,0.64211592
52,2,52,0,2852,3.0,2.65,0.733993902,0.266006098
54,2,54,0,3254,2.35,0.7,0.29710867399999996,0.7028913259999999
56,2,56,1,2269,0.25,3.0,0.507097406,0.49290259399999997
58,2,58,0,14774,1.75,1.3,0.327248638,0.6727513620000001
60,2,60,1,3904,0.1,1.9,0.271516393,0.728483607
62,2,62,0,2880,3.0,2.35,0.351542178,0.648457822
64,2,64,0,2263,2.65,0.15,0.545735749,0.454264251
66,2,66,0,3051,2.65,1.75,0.37541651200000004,0.624583488
68,2,68,1,3003,0.7,2.05,0.43406985,0.56593015
70,2,70,1,1992,1.9,2.35,0.509036145,0.490963855
72,2,72,0,4018,3.0,0.7,0.343952215,0.656047785
74,2,74,0,2281,3.0,3.0,0.330492424,0.669507576
76,2,76,1,3526,1.05,2.05,0.33522405,0.66477595
78,2,78,0,3462,0.7,0.15,0.518486424,0.481513576
80,2,80,0,4374,1.75,1.9,0.33185840699999997,0.668141593
82,2,82,1,2214,2.5,3.0,0.264679313,0.7353206870000001
84,2,84,1,1662,2.65,3.0,0.475330927,0.524669073
86,2,86,0,2811,0.85,0.25,0.490217005,0.509782995
88,2,88,0,1197,3.0,0.85,0.630743525,0.369256475
90,2,90,0,2910,1.3,2.5,0.587628866,0.412371134
92,2,92,1,2373,0.7,3.0,0.46017699100000004,0.539823009
94,2,94,0,2077,2.35,2.05,0.49205585,0.50794415
96,2,96,0,3626,0.7,0.0,0.431329288,0.5686707120000001
98,2,98,0,2018,2.5,2.65,0.37321624600000003,0.626783754
100,2,100,0,1312,3.0,0.7,0.736842105,0.263157895
102,2,102,0,2711,2.65,3.0,0.389233954,0.6107660460000001
104,2,104,1,2481,0.7,2.35,0.789197904,0.21080209600000002
106,2,106,1,1863,0.0,1.0,0.8013955979999999,0.19860440199999999
108,2,108,1,1516,2.35,2.5,0.6912928759999999,0.308707124
110,2,110,1,1415,0.4,2.5,0.73639576,0.26360424
112,2,112,0,1115,2.35,1.9,0.596412556,0.40358744399999996
114,2,114,1,3668,1.6,3.0,0.461286805,0.538713195
116,2,116,1,1658,0.15,2.65,0.379975875,0.620024125
118,2,118,1,1605,2.8,2.8,0.809968847,0.190031153
0,3,0,0,4777,3.0,2.05,0.734354713,0.265645287
2,3,2,1,4338,1.45,2.95,0.313909774,0.6860902259999999
4,3,4,0,5289,2.05,1.9,0.6594539939999999,0.340546006
6,3,6,0,3146,2.65,1.9,0.614206128,0.38579387200000004
8,3,8,0,3422,3.0,2.5,0.5,0.5
10,3,10,0,2342,3.0,2.95,0.556362084,0.443637916
12,3,12,0,2593,2.05,1.45,0.617521368,0.38247863200000004
14,3,14,0,3094,2.05,1.9,0.581805604,0.418194396
16,3,16,1,9847,1.6,2.05,0.678512397,0.321487603
18,3,18,1,2451,2.35,3.0,0.41534067700000005,0.584659323
20,3,20,0,4519,2.95,2.05,0.537729586,0.46227041399999996
22,3,22,0,2320,2.65,2.2,0.6400862070000001,0.359913793
24,3,24,0,3476,2.35,1.3,0.590939374,0.40906062600000004
26,3,26,0,4449,2.2,2.05,0.667407957,0.332592043
28,3,28,1,3198,1.75,3.0,0.319944598,0.680055402
30,3,30,0,1736,3.0,1.45,0.735599078,0.264400922
32,3,32,0,7987,3.0,3.0,0.330941704,0.669058296
34,3,34,1,7586,2.05,2.05,0.736883733,0.263116267
36,3,36,1,5162,2.05,1.75,0.36852046200000005,0.631479538
38,3,38,0,8093,2.05,0.7,0.5442877110000001,0.455712289
40,3,40,1,8523,1.45,1.9,0.640182978,0.35981702200000004
42,3,42,0,2304,3.0,2.35,0.672163918,0.327836082
44,3,44,1,2710,0.7,2.35,0.47206477700000005,0.527935223
46,3,46,1,2295,2.35,2.95,0.36997578700000006,0.630024213
48,3,48,1,3839,1.45,2.05,0.616412724,0.38358727600000003
50,3,50,1,2838,2.35,2.5,0.265379976,0.734620024
52,3,52,0,3472,2.35,1.6,0.7350230409999999,0.264976959
54,3,54,1,3039,2.5,3.0,0.37314906200000003,0.626850938
56,3,56,1,11103,2.2,2.65,0.5723796839999999,0.427620316
58,3,58,1,1916,1.45,3.0,0.34864300600000003,0.651356994
60,3,60,1,3972,0.7,2.05,0.22463951399999998,0.775360486
62,3,62,1,6740,2.5,1.9,0.38483965,0.61516035
64,3,64,0,4697,1.9,0.55,0.541072641,0.458927359
66,3,66,1,2018,1.9,3.0,0.329038652,0.670961348
68,3,68,1,2635,1.75,1.6,0.38005923,0.61994077
70,3,70,0,3486,2.35,1.9,0.709122203,0.290877797
72,3,72,1,3926,2.05,2.95,0.307105109,0.6928948909999999
74,3,74,0,2195,1.6,1.3,0.70840682,0.29159318
76,3,76,1,1932,2.95,3.0,0.343091335,0.656908665
78,3,78,0,2314,2.8,2.35,0.7100192679999999,0.289980732
80,3,80,1,4482,2.95,2.35,0.561235357,0.43876464299999995
82,3,82,0,2621,1.9,2.35,0.490270889,0.5097291110000001
84,3,84,0,1616,1.45,2.05,0.734529703,0.26547029699999997
86,3,86,1,4355,2.2,2.65,0.552510308,0.44748969200000005
88,3,88,0,1653,2.95,2.05,0.647912886,0.352087114
90,3,90,1,1692,2.2,2.65,0.343815514,0.656184486
92,3,92,1,1472,2.2,2.2,0.335597826,0.664402174
94,3,94,0,1249,2.95,1.45,0.586374696,0.41362530399999997
96,3,96,0,2021,3.0,2.05,0.6749134090000001,0.32508659100000004
98,3,98,0,2576,1.75,2.05,0.569099379,0.43090062100000004
100,3,100,1,4400,2.05,1.9,0.5137478329999999,0.486252167
102,3,102,1,2222,0.55,1.45,0.359135914,0.640864086
104,3,104,0,4503,1.9,1.45,0.6864663409999999,0.31353365899999996
106,3,106,0,1509,3.0,2.35,0.577866137,0.42213386299999994
108,3,108,0,1715,2.95,2.65,0.657725948,0.34227405200000005
110,3,110,1,1992,1.9,2.65,0.368112544,0.6318874560000001
112,3,112,1,2200,2.05,3.0,0.269090909,0.7309090909999999
114,3,114,1,9602,1.6,1.75,0.44608157200000004,0.553918428
116,3,116,1,1788,3.0,3.0,0.361297539,0.638702461
118,3,118,0,1366,2.95,2.35,0.623718887,0.37628111299999994
0,4,0,1,5222,3.0,3.0,0.5362247410000001,0.463775259
2,4,2,0,4264,3.0,3.0,0.7079720279999999,0.29202797199999997
4,4,4,1,4101,2.2,2.35,0.30827849,0.69172151
6,4,6,0,5630,3.0,3.0,0.623041475,0.376958525
8,4,8,0,3312,3.0,2.35,0.807816092,0.19218390800000001
10,4,10,0,2421,3.0,2.2,0.663753213,0.33624678700000005
12,4,12,0,3593,3.0,2.95,0.556300268,0.443699732
14,4,14,1,2761,2.8,3.0,0.322255791,0.6777442090000001
16,4,16,1,3387,2.95,3.0,0.481879729,0.518120271
18,4,18,0,2628,3.0,3.0,0.611059908,0.388940092
20,4,20,0,7720,2.5,1.9,0.592444717,0.407555283
22,4,22,1,9213,3.0,3.0,0.561909101,0.438090899
24,4,24,1,2774,2.95,3.0,0.415571776,0.5844282239999999
26,4,26,0,2852,3.0,1.9,0.707251567,0.29274843300000003
28,4,28,1,3957,2.5,3.0,0.499036078,0.5009639220000001
30,4,30,1,3354,1.9,2.95,0.511329756,0.488670244
32,4,32,0,3966,3.0,3.0,0.57260435,0.42739565
34,4,34,0,7195,3.0,3.0,0.65199224,0.34800776
36,4,36,1,1211,2.2,2.5,0.446738233,0.5532617670000001
38,4,38,0,3679,2.95,2.8,0.48377752,0.51622248
40,4,40,1,2987,3.0,3.0,0.270691334,0.729308666
42,4,42,1,1921,3.0,3.0,0.321707444,0.6782925559999999
44,4,44,0,5303,3.0,1.9,0.5653681420000001,0.434631858
46,4,46,0,1275,3.0,2.5,0.64,0.36
48,4,48,1,1491,3.0,3.0,0.38497652600000004,0.615023474
50,4,50,0,1373,3.0,3.0,0.638018937,0.361981063
52,4,52,1,2364,2.35,2.95,0.538071066,0.46192893399999996
54,4,54,1,2299,3.0,3.0,0.372335798,0.6276642020000001
56,4,56,1,1452,2.2,2.65,0.337465565,0.662534435
58,4,58,1,2983,2.65,3.0,0.427086825,0.572913175
60,4,60,0,876,3.0,1.9,0.5456621,0.4543379
62,4,62,1,2844,3.0,3.0,0.401975684,0.5980243160000001
64,4,64,1,1196,3.0,3.0,0.488294314,0.511705686
66,4,66,1,1266,2.2,3.0,0.403633491,0.596366509
68,4,68,1,2497,2.2,2.95,0.433319984,0.5666800160000001
70,4,70,0,2890,2.65,3.0,0.566435986,0.433564014
72,4,72,1,1103,2.8,2.95,0.34540390000000004,0.6545960999999999
74,4,74,0,1333,2.95,2.05,0.707259953,0.292740047
76,4,76,0,1183,3.0,2.5,0.646661031,0.353338969
78,4,78,0,1500,3.0,2.8,0.690666667,0.309333333
80,4,80,0,1562,3.0,2.4,0.590268886,0.409731114
82,4,82,0,888,2.95,2.2,0.509009009,0.490990991
84,4,84,1,1676,2.35,3.0,0.21360381899999997,0.786396181
86,4,86,1,1249,1.9,3.0,0.448243115,0.551756885
88,4,88,1,1512,3.0,2.65,0.197751323,0.802248677
90,4,90,1,1522,2.05,2.95,0.329571106,0.6704288939999999
92,4,92,1,934,1.9,2.5,0.39507494600000004,0.604925054
94,4,94,0,1114,3.0,2.2,0.574506284,0.425493716
96,4,96,0,2184,3.0,3.0,0.489010989,0.510989011
98,4,98,0,1246,3.0,3.0,0.585874799,0.414125201
100,4,100,1,2734,2.2,2.2,0.439648866,0.560351134
102,4,102,1,4260,2.8,3.0,0.567605634,0.43239436600000003
104,4,104,0,1732,3.0,3.0,0.684757506,0.315242494
106,4,106,1,1250,3.0,2.95,0.4384,0.5616
108,4,108,0,1219,2.35,2.2,0.6538146020000001,0.346185398
110,4,110,0,2581,3.0,2.95,0.6788066640000001,0.321193336
112,4,112,1,961,2.2,3.0,0.252861602,0.7471383979999999
114,4,114,0,4419,3.0,3.0,0.5170853129999999,0.482914687
116,4,116,1,1153,3.0,3.0,0.363399827,0.6366001729999999
118,4,118,1,957,2.05,2.5,0.32601880899999996,0.673981191
0,5,0,0,4573,2.5,2.35,0.49095675,0.50904325
2,5,2,1,5410,1.6,3.0,0.311025145,0.688974855
4,5,4,0,5784,2.5,2.35,0.63889882,0.36110118
6,5,6,1,2593,2.2,2.35,0.48900887,0.51099113
8,5,8,1,2522,2.35,3.0,0.509154316,0.490845684
10,5,10,1,1583,2.8,2.05,1.0,0.0
12,5,12,1,7521,2.35,2.35,0.247969838,0.7520301620000001
14,5,14,0,3647,2.05,2.2,0.434731246,0.565268754
16,5,16,0,4538,2.05,1.9,0.46234119799999995,0.537658802
18,5,18,1,4539,2.8,2.2,0.303599374,0.696400626
20,5,20,0,1791,2.65,2.35,0.617283951,0.382716049
22,5,22,0,12467,2.35,2.05,0.32749337,0.67250663
24,5,24,0,3139,2.05,2.5,0.412736661,0.5872633389999999
26,5,26,1,2175,2.05,2.65,0.396992481,0.6030075189999999
28,5,28,1,2883,1.75,1.9,0.37877052299999997,0.621229477
30,5,30,1,2064,1.9,2.8,0.329874386,0.670125614
32,5,32,0,7987,2.05,2.05,0.5144824,0.48551759999999994
34,5,34,0,4457,2.65,2.05,0.447761194,0.552238806
36,5,36,0,2338,2.5,2.35,0.555175364,0.444824636
38,5,38,1,4005,1.6,2.05,0.48008018,0.51991982
40,5,40,1,2777,2.5,3.0,0.157994683,0.842005317
42,5,42,0,2346,2.35,2.2,0.524552547,0.47544745299999996
44,5,44,1,1645,1.75,2.2,0.30881459,0.69118541
46,5,46,1,1395,2.5,3.0,0.404301075,0.595698925
48,5,48,1,2131,2.2,2.35,0.265358802,0.7346411979999999
50,5,50,0,2591,2.05,2.05,0.585950413,0.41404958700000005
52,5,52,1,2201,2.2,2.05,0.299741602,0.700258398
54,5,54,1,1679,2.2,2.05,0.36217303799999995,0.637826962
56,5,56,0,2299,2.05,2.35,0.578342118,0.42165788200000004
58,5,58,1,3020,1.9,2.5,0.625689519,0.37431048100000003
60,5,60,1,2997,2.05,2.2,0.181305115,0.818694885
62,5,62,1,1646,1.9,2.05,0.46702557200000006,0.532974428
64,5,64,1,1666,2.5,2.2,0.36099585100000003,0.639004149
66,5,66,0,4106,2.05,1.9,0.582298137,0.41770186299999995
68,5,68,1,2059,1.9,2.05,0.47541869299999995,0.524581307
70,5,70,0,2797,2.05,1.6,0.567751162,0.43224883799999997
72,5,72,1,1552,2.5,2.05,0.483113069,0.516886931
74,5,74,1,1830,2.2,2.5,0.48956356700000003,0.510436433
76,5,76,1,2243,2.35,2.05,0.469906375,0.530093625
78,5,78,1,1930,2.35,2.35,0.499411072,0.500588928
80,5,80,1,3888,2.5,1.9,0.228909465,0.771090535
82,5,82,0,2063,2.05,1.9,0.587479039,0.412520961
84,5,84,0,1541,2.35,1.9,0.5335548170000001,0.466445183
86,5,86,1,1790,2.2,2.5,0.759776536,0.240223464
88,5,88,1,2175,2.35,2.65,0.40459770100000003,0.595402299
90,5,90,0,3138,3.0,2.35,0.47418738,0.52581262
92,5,92,1,1451,2.5,2.65,0.398345968,0.601654032
94,5,94,0,1307,2.2,2.2,0.6064,0.3936
96,5,96,0,2330,2.05,2.2,0.6282598389999999,0.371740161
98,5,98,0,1837,2.65,2.05,0.680785758,0.319214242
