,gamma,v,tau,s
0,147.97777277236102,432.5567148472354,805.6035208222406,779.0399039805501
1,142.01546100632905,179.25553173352958,871.747993578136,569.0123448159379
2,162.29079599202365,56.12925728908729,508.8491452260533,52.75932536929511
3,141.30259698609822,103.76553397002375,796.5798687166794,776.3215441638622
4,145.42730461640426,795.4038572834735,1010.0329930595601,1004.1058438928818
5,145.0891799099007,1173.3059527076423,801.4700097622642,148.3625105097623
6,160.5072085707252,734.433204731556,453.9071215679106,426.4945525944294
7,151.77013818784644,418.9473704180074,154.17334882776984,1166.6805792843493
8,145.39500847033932,150.50381061975017,322.965693912003,1235.603361494466
9,142.42049235341668,951.9988421566708,1267.1544107120599,1066.6079542058449
10,142.52522921526668,293.9879944572946,758.5306709619924,566.8793764807837
11,126.9337975917017,824.1438939875916,483.5959770466126,320.1789894392451
12,133.56978243419255,120.21762635318996,523.1867768134755,903.9114600451846
13,144.24466115827346,763.8929199455539,559.80153310875,672.3488633065424
14,146.97189576043462,317.1970989928716,705.6679933936573,129.94609663102906
15,157.21241481882345,670.4485341187481,616.898789065531,1055.531151509696
16,132.64192032213572,875.743160736496,721.4140511182945,946.1754845195793
17,146.7109358161719,450.15633942467207,515.4188696282848,419.980311942819
18,146.84951917341294,95.8622363900662,842.601227146109,68.08445518464337
19,159.68407610574187,943.5616762793826,533.2271191194963,1495.1906432116707
20,135.58881231711308,862.4102283005394,159.45594020980266,1891.6654582057809
21,153.37778822021718,822.2484164153041,892.0783654697703,125.47458885379106
22,163.23458733444528,584.635162085517,123.60391569635901,216.47375015685074
23,147.11150074550196,165.2986715227027,495.63777304471137,468.3167785333039
24,131.93920696040837,71.2205293966565,503.0121719705233,164.02839369930024
25,143.08063374551546,234.68296631944273,255.48330165084428,1721.453279899299
26,142.73010947756416,566.5899259518882,569.1926523006975,1177.4181145548703
27,186.00881468533188,634.5529517425757,495.29578675531076,810.9425120061405
28,148.0428981472612,70.49098290937069,201.02058447584272,44.897042267349605
29,126.57877600889888,833.2392588262583,54.359948166136924,745.5909937306981
30,157.46869609462883,421.75364823534494,172.34088782081975,104.1323258998961
