,gamma,v,tau,s
0,6844.057310952723,6960.304655646447,6914.262164506068,9725.799880674493
1,6507.805173710876,6680.7517144080675,5909.169231202086,7293.590779860259
2,6046.490386437248,4982.40767969605,4832.938783238155,6467.865145542267
3,6232.960944373883,6827.4353729954,4875.350881768998,8518.285587564467
4,8563.597099341861,6614.130580911968,5522.600754804537,8312.8349984437
5,9643.889265132026,5970.1483566852985,4812.873565834606,7828.233637251328
6,7804.1617700664265,4913.5570000570815,4679.145764514247,6403.183948293835
7,6480.695242155492,6048.115229651094,4398.371073140641,10288.127203256194
8,4950.7485756878605,4624.811935167434,4685.167090760641,7177.116451003513
9,10982.845786809241,6989.462589173768,6951.7211236331705,7375.420228910688
10,5011.784211500138,3451.936907384498,3471.2002881429685,7424.84863504257
11,12315.38350492969,5763.660365125656,5380.326058679984,8233.714186157227
12,6226.176548858856,3521.377532752896,3728.5682010331752,6970.440413684323
13,9510.072066801531,6661.932769779118,5440.019141839855,7813.687689295393
14,10651.036239509165,5093.490324259626,4131.192624619652,8574.184535120987
15,6268.009431819803,4904.368523332968,5376.277037129411,7320.013906524479
16,4451.582393658106,6051.335539181426,5010.839125001771,7377.176557893298
17,9430.883150367301,6091.59843070899,5668.544123030775,8544.201272486926
18,7316.814075299723,5334.346286121245,4439.558771621667,6130.834394526973
19,4883.3062172871605,6650.95487262761,6290.20400148889,9408.283430343223
20,10547.388498591261,6159.692592423738,5073.595036264873,7075.323750721433
21,10571.141668705393,5236.03583259173,5387.831721346102,7408.529368611529
22,9579.1403023436,6582.686048512596,5863.3960318990285,7706.039634207447
23,6829.340783635021,4436.571929745018,4981.3803841972,7269.2330258948505
24,5924.518727478881,6073.36330959584,6111.250690423825,7995.153369533671
25,6440.240341546342,5545.159788858273,5397.183058030055,6816.485204299411
26,6530.964315892393,4777.871896956037,5513.611317032242,7069.612028593953
27,9411.245704693558,7469.625418836731,7058.602948951265,8295.727271655553
28,7934.163603437467,4793.425273284579,6169.583849995002,6105.923932102175
29,6811.301458532557,4673.419158021913,4522.991239181492,8957.020089455134
30,7353.4124545866425,4557.2527019666495,5850.907574994601,6360.368992465064
