,gamma,v,tau,s
0,8884.732607730977,5092.4599214145655,4542.9700583926215,6707.750088388782
1,4704.557957712723,5203.909878256219,5159.123767643982,7375.00833653951
2,5217.05688492062,5508.815878775649,4920.184063353794,7225.073549449437
3,7011.748106663344,5988.528729195866,5294.83536314204,8611.396447498293
4,6035.102976694547,4393.755199661549,4749.595096352675,6736.258009717493
5,8677.182441221705,4251.019051785137,4336.435955287944,6421.818549941237
6,7369.2349609568755,4864.578853248858,5164.778287524663,6552.589846435857
7,7334.908526886291,4190.8408328361575,4172.384117585748,6528.635877014782
8,6030.395854719254,4141.106323050042,4473.043015996032,5296.626782584362
9,8099.383957559205,5314.817037257234,5415.240393392856,6434.156664287241
10,7244.654160147217,3632.1254482839895,3374.219857168191,5889.24290126807
11,6556.733509595546,4288.296396005565,4868.35266994435,7486.754945027956
12,7477.498633257909,5665.777879958932,5440.708012165044,7546.222566629524
13,7170.113679129597,4191.5619472791595,4367.144170068057,7163.378769682275
14,6485.407375856803,3717.38092854801,3882.2423081635425,6775.033930518782
15,6425.8774059631605,4660.450008313135,4707.634303731605,6721.199445682773
16,6185.433613746622,5271.489492396745,5654.610884011913,6828.246178153308
17,8894.067953130592,5356.87847488043,5117.243663517472,7430.084046822648
18,5250.676408132484,4487.761191826614,4419.580821168668,6799.648448291635
19,3015.9061572895093,2919.125505549102,3131.6430936500574,4268.952392536186
20,4972.372560595522,4762.635583218768,5464.755506773434,6646.304054719946
21,5278.034574747715,3950.053569140989,4071.672884393555,4820.922178599537
22,7743.98847439762,4114.612786942984,3875.449767617319,6123.320301373832
23,6231.467889549005,5041.165349132649,6043.314785526729,7539.523630303614
24,8013.867189559683,5038.426608069549,5354.034204944268,7676.583535022155
25,7384.642238535708,4605.7403092436025,4863.122322539936,5642.714912527209
26,5145.266618502529,4887.584092821183,4908.3254137373215,7601.922150296417
27,7059.243142320873,5676.4077609009855,4917.941054826978,7361.134908550501
28,5400.18320971564,3124.2154403158074,3452.334999483593,5856.814860483367
29,5044.417325641122,5841.753951613554,4835.638413691265,8770.958590938882
30,5695.059208812734,4015.3837822592664,4833.273373100885,6083.2032031391955
