,gamma,v,tau,s
0,1.035358029921701,1.024732458668863,1.0134047485567375,1.0089499622881837
1,1.0325605153321367,1.0022692809595135,1.0147123586638827,1.0063947512668734
2,1.0326481717286606,1.0200691777599653,1.0017648650887432,1.015460188804321
3,1.0390330028994146,1.012780467854116,1.0203397539153856,1.0106851398609367
4,1.0355201514161492,1.0034226060149305,1.0257019757124626,1.0083624556952555
5,1.0354511672128253,1.0137075466201446,1.0050952218821128,1.008240925648346
6,1.0335567477454042,1.0261373389914048,1.0030092911804434,1.001560135499669
7,1.0394231430641476,1.0025159726322714,1.0109984212218148,1.0163060196446163
8,1.038213142134735,1.0131906102917625,1.0035433951680481,1.000833907346942
9,1.0372155340525366,1.0204966188877644,1.0166517625948908,1.0144184380852106
10,1.0382052102115218,1.009657990581399,1.0244977906009989,1.0120930412761286
11,1.0365759483024983,1.0100884266681385,1.0285651628476002,1.0020626527126602
12,1.034443209319827,1.0109973868654434,1.0037072369555107,1.003469325640902
13,1.0349283892031385,1.0040806533797038,1.0077809817086825,1.0010307980532176
14,1.0330713618667247,1.0065914559720237,1.020763975795407,1.0116742787518478
15,1.0325349298256496,1.0035318393458907,1.00233049780357,1.0041609166409846
16,1.038184272532483,1.029681310332829,1.0255717637979862,1.01538007365587
17,1.0345041343526769,1.0028313889494547,1.0018236442891535,1.004156556312607
18,1.0342745483147973,1.005293668376505,1.0322166594150524,1.0084252373129896
19,1.0370849177264743,1.0081615980028187,1.0047992181366123,1.0094077732450282
20,1.034062356264126,1.009646778116819,1.0031423399219974,1.0005290263309468
21,1.0343518413887764,1.0075461327221744,1.0190132027457621,1.0084562914455752
22,1.0354275973448954,1.006160361491459,1.0168863009994729,1.0009646958660035
23,1.0374318661293764,1.005469982420386,1.0155071471521926,1.0020308500143789
24,1.0391009168561656,1.033993781147298,1.0095408619980182,1.0092854915959286
25,1.0351263777806419,1.009180670516377,1.0012174179998694,1.012845844618814
26,1.0372483045856147,1.0051230929423804,1.0046810850084587,1.010522436883776
27,1.0290237124557424,1.0214210503878944,1.0169609757764477,1.0029154669071396
28,1.0359776529351912,1.0470717698188303,1.0023197837516564,1.0254821321808882
29,1.0378023297875691,1.0228461890482308,1.0438975017569443,1.0078480677228423
30,1.0355778995887235,1.0254565341251933,1.0024033173072084,1.0078454890000714
