,gamma,v,tau,s
0,2741.107349704267,2819.879776309853,3108.3375443592777,4635.404073559386
1,3579.4579510706703,2437.5906205642214,2289.575679684643,4593.625368240089
2,2309.115988164646,1984.786737937663,2094.198588182263,3056.5631121413353
3,2887.8490603449527,2798.1099448526456,2561.636145865284,4754.194399648703
4,3698.5107063547,3106.735985641296,3482.490255188776,5401.703519275457
5,4569.072241016355,2935.2463119954377,3210.8869573911816,4391.66817328818
6,2966.4752796429907,2220.476509727033,3019.7159260211015,3152.992066049495
7,2224.963938256541,2242.6972935387416,2077.944443491187,5331.421316087902
8,2865.2698070153533,1496.3140641613388,1898.5428425062191,2391.161325834878
9,4349.045219025003,3961.7812828925253,4904.919680381126,5094.101445473653
10,1932.5867313826855,944.174536265896,1034.6779786655613,2249.5181787495217
11,3709.5333667419804,1865.3085955946474,1788.1097814186692,3599.779171479572
12,2523.2315429529795,1554.3769663480255,1660.1414904972164,2893.911644858985
13,3954.1943210375775,3106.4631407023585,3194.0330647481164,5207.038659220901
14,3407.257958111353,1488.0144863160267,1572.2678365219185,3414.4754601874456
15,3459.9136888167973,1790.3628654710676,2353.2624909517926,2350.224962738319
16,2556.7489561566326,1977.2445994816258,1966.240004457263,4156.7574829444575
17,3114.1001512116377,2725.2743681690454,2702.4205571368175,5254.117324181929
18,4286.2631207735585,3551.4653718472455,2457.9955760406033,4215.703527023842
19,2658.0256690354076,2642.400104846623,3206.348046475315,4935.440888558277
20,3915.6494058616536,2958.342529602613,3430.701122645563,4225.959682245007
21,3950.018257995517,2494.4676310825653,2408.3484633016574,5138.665734081095
22,3163.302174973725,1635.6453900907109,1595.9003305301135,2858.4362744958057
23,2657.3073156246796,1777.3476186544517,1721.2268462108582,3216.7950988514494
24,3269.3949243826464,2950.074601887955,3067.7680946861515,4646.9277029685045
25,2773.89950133453,2323.597066195907,2859.813775940137,3929.230254132083
26,2173.520351786201,1741.2179346926973,1955.874325022883,3943.5018086905
27,1256.114492934165,802.2798445918767,901.8891696415878,1150.3120959930336
28,1960.4552666355535,1338.9078948956255,1793.3036127224095,3984.5922161216718
29,2458.4327051544906,2464.1760678940423,2480.5348886753486,4887.353191006693
30,2947.7574790769822,1886.9620864258577,2163.8533036988856,3432.2703606991254
