,gamma,v,tau,s
0,3395.5690474623825,2625.826399495548,3430.354358396723,3654.0277270791235
1,4429.513661994782,2585.6541391934024,3626.6067719416324,4370.288416330897
2,3991.314447904182,3248.288341244207,3368.8502761502214,4599.161876437938
3,3245.746441777309,1986.578140787857,2502.0660086524995,3149.5075281717827
4,2752.0473211513254,3093.6801021152482,3373.9439634091505,4811.469437398504
5,3799.6181449911364,2570.7333869099575,2895.4759280020503,3588.262871636155
6,2431.349242605541,2749.8689268238027,4197.674349065405,3626.32359936864
7,2059.8405418138072,2583.835672864566,2518.270729203121,4367.793094565693
8,2038.1930216405674,1597.348017425566,1862.1924956939915,2495.94137752529
9,2688.971045904598,2010.1757556136972,2474.0690435582537,3525.8321013820255
10,2767.172694817589,2185.9955737215832,2211.9010371278114,3307.5378802263403
11,3015.5298336836563,2670.3399711111215,3049.838335064521,3412.2196444255706
12,3351.455477194577,2072.8474353655984,2487.5920278410836,3661.1558693129496
13,1414.539943112208,1003.8775201940607,1874.5657541538178,2707.926841724621
14,2598.255533082701,3165.923165237591,3193.0082869366324,3818.0793075398046
15,3270.4479313867455,2947.7604226218346,3016.3767818862443,3431.888241799279
16,157.4975126498512,26.95201991248053,29.495579728497123,26.21607044471976
17,2682.336992368425,2601.1526170704337,2945.886372641381,3959.6416527699266
18,4841.587880454641,3067.391473298825,3796.5923426128647,3976.006868873816
19,2582.509096529307,2298.9046928480057,3242.411389342989,4351.652350294347
20,3724.2497760870588,2173.0130940067575,2675.9468902653016,3545.094437952004
21,3309.6525656689723,1811.4161262441519,2338.661762221499,3230.606300208953
22,3066.440909723966,2930.203385859683,3066.592383784534,4405.879430654018
23,2779.084420675607,2161.515148520419,2632.690182713133,3737.330205733474
24,2409.2902939761657,2221.2695742774577,2488.370670478636,3065.7688713813914
25,2303.248618651821,2952.803347278348,2786.85869870927,5183.3309871104375
26,2590.2870099883617,1778.6388376499044,2679.6147864844843,3497.891659964422
27,2235.9289970221034,1939.3190099210426,2164.2292446696256,1388.7227378821265
28,2383.040089093859,1404.8216327542307,2125.5415797999276,4711.700299926928
29,2945.7994316926556,1861.1350522755367,1923.9077393236892,3145.9419474984893
30,2544.875513750439,1618.9764779660127,2112.862479261389,2654.60546671868
