,gamma,v,tau,s
0,5587.92796753546,3319.4782771197138,2868.8874003240157,5281.994988307339
1,4106.883052053633,2657.366438606033,2922.9739080817076,4809.026217262663
2,2748.8145582125644,2089.090559971258,2044.4575327927928,4167.759708752589
3,3172.7176981554358,3441.965975536115,2909.9219542009,5556.3525803886505
4,2375.116872667744,1229.9588269139076,1262.9217036614673,1091.3375183893415
5,4128.79597612409,2333.6897565666845,2796.708477687571,3307.090695939374
6,3661.2365738499416,2421.79955586701,2407.867543684874,3754.6960200567655
7,2937.0415698960624,1912.898739625112,1807.493846701843,3143.461960872448
8,2125.905859148563,1158.238764779534,1511.8460982243023,1546.4405153538437
9,3712.7567727549736,2552.5668618757045,3344.055805555771,3460.4355838433576
10,2547.196059922172,2042.048450264186,2020.8539367342976,3245.373542760154
11,3061.5820344795397,1909.1245189726924,2134.2908803013465,3602.3955356674014
12,4945.313326153831,3729.6516552187577,3560.594566451662,5696.710404601399
13,3383.2259137413894,2746.4771992426877,3191.248517566013,4240.70297726216
14,3969.140928107671,1858.5026153230583,2046.8649575730587,2964.1872620028716
15,4372.294699481717,3391.7780999449783,4132.868707442962,5223.954791440364
16,3865.998262875825,3147.9658577539417,4079.6099377707264,4633.959865470085
17,4708.943553178911,2861.0761339688916,3282.5222608050217,4760.628292366902
18,2288.979370455242,1866.2375094091954,2050.8128896610688,3307.11524005785
19,79.0807307195533,73.63221297634746,105.82283766534039,89.64825476041139
20,3317.520027176425,2500.426962417807,2411.5689055318576,4477.7535195672
21,3572.9950712376467,2155.7635985296665,2207.3035936085876,3283.9779691775816
22,3324.948861022642,2046.4871451113463,2319.175525994498,3146.1975408050303
23,4050.930176333189,3671.1555021288304,3516.7444378672535,4760.57783467743
24,3445.902000008206,3455.0490886227267,4085.0454627262034,6010.184560131525
25,2609.097373203325,1673.514034384843,1845.0664948948308,2291.9611100279803
26,2680.3392675627997,2270.1896129117276,2491.2971448584785,4401.807729925562
27,2903.1748868518075,2654.3053402909195,2250.637983576879,4003.3531596137186
28,2751.265658285787,2393.5047913060644,2494.922937724566,4655.724965528676
29,2507.9892617375504,2558.974104167538,2868.9445003831165,5427.997367691743
30,110.96310483638906,11.894925816695515,70.69815145437705,11.911957470799683
