,gamma,v,tau,s,part
0,1.0006482324798103,1.0019300251100471,1.0004589455858814,1.000419993950197,0
1,1.0018629145071938,1.001329216207165,1.0009045888711618,1.0008420645326206,1
2,0.9999091126559667,1.001728671688908,1.0006075179045708,1.0010204639415996,2
3,1.0009983922312715,1.0002170656968499,1.0004750121695059,1.0003987191652612,3
4,1.0002905337474517,1.0010852031990431,0.9998820534516137,1.000137856249282,4
5,1.0008950691478207,1.0006800137372343,1.0000833312826911,0.9998918013287091,5
6,1.0008256707813137,1.0011316490932356,1.0029878802517715,1.001885974249718,6
7,1.0036607719016077,1.0016141154749785,1.0013075643228229,1.0006834533360842,7
8,1.0006210112843037,1.0017753144621095,1.0010216747404161,0.9999623135290147,8
9,1.0010277201244056,1.0005854130758915,0.9996424427057097,0.9999474565208509,9
10,0.9998092863461052,1.0016788964246863,1.000756989361976,1.0009756344924479,10
11,0.9999410183245772,1.0012066629703449,1.0007172082014717,0.9999040021336059,11
12,1.000565745904427,1.0006146919389698,1.0008098556950498,1.0004141041422407,12
13,1.0005331936472566,1.0007483078773598,1.000667701480161,0.9999025200601822,13
14,1.000428400188391,1.0007462717803037,1.0004386293906082,1.000419007523092,14
15,1.0020409396463672,1.0015386961059465,1.0017674638282614,1.0005865998297356,15
16,1.000239299551872,1.0015196815088179,1.0010129922326292,0.9996955180109957,16
17,1.000148143117969,1.0007729487537522,1.0003464040114642,0.9997783955164883,17
18,1.0006413743700977,1.000337527799677,0.9997484534124793,1.0003665365999763,18
19,1.0010744673324707,1.0008710210991951,1.0008314968914063,1.000204278852235,19
20,1.0009904737898714,1.0005999828903953,0.99989668007495,0.9999508079947546,20
21,1.0014449882895287,1.0021242739144105,1.001680800448599,1.0016047050326475,21
22,1.0013790231434179,1.0006815551431414,1.0020980434837914,0.9999561890040924,22
23,1.0019314030079236,1.0002458741378606,1.0013547794078408,1.0004034808228481,23
24,1.001170230478654,1.0000818349913263,1.0001973727205113,1.0001644395635778,24
25,1.0004836094281164,1.0024811876121444,1.000532545105764,1.000302370534888,25
26,1.0004769518104055,1.0005557335582926,1.000325008614472,0.9998831433583938,26
27,1.0004003052247734,1.0026881321023056,1.000088542136066,1.0018282945360493,27
28,1.0004735284468298,1.002459022518705,1.0022375946818276,1.0003261174645808,28
29,1.0027412659583272,1.0008036834318508,1.0007075826387524,1.0003260398577039,29
30,1.0006782090831123,1.000201038849972,1.0003536228013143,1.0001602055516738,30
