,gamma,v,tau,s,part
0,1.0000801266156156,1.000577191145337,1.000787782338054,1.0002079911309645,0
1,1.0000665680420664,1.0002620627082601,1.000193016652898,0.9997086751342595,1
2,1.000896763409683,1.0019936601565793,1.0001530858248133,1.0004917897004049,2
3,1.0002989717013455,1.0021163315486767,0.9996034525440635,1.0008487195448665,3
4,1.0000662286891309,1.000811734079879,1.0002110688312111,1.0004684570594589,4
5,1.0000068792694297,1.000908208092065,1.0003898836749872,0.9999591621195655,5
6,1.0000796519013777,1.002770146997214,1.0007930887555827,1.0001820413333156,6
7,0.999936759088202,1.0021191936299003,1.0006250678852484,0.9998171888575063,7
8,1.0011714232679316,1.0019482774695672,1.0010404153873296,1.0013388514464658,8
9,1.000412354060499,1.0007581239150753,1.0009959145450478,1.000085837642216,9
10,1.0003563952990917,1.001078000461476,1.0009133176769598,1.0002306804086762,10
11,1.0005526580964537,1.0003498510001059,1.000190758551413,1.0003480046953315,11
12,1.0000585833950628,1.0006782313271017,1.0006034466200728,1.0001172967443006,12
13,1.0006600545612863,1.0055814123532147,1.002628288684835,1.0006118034731113,13
14,0.999801562252167,1.0008670190803068,1.0018161893386293,1.0006502190003599,14
15,0.9999225643266412,1.0010096960617818,1.0005265804646972,1.00066462617398,15
16,1.0232867653603712,1.112334874672354,1.0790809855554373,1.1033032822618665,16
17,1.0007282715313832,1.0012444800287277,1.00020821705639,0.9999394153631366,17
18,1.0005245491383823,1.0010833105027988,1.001150621403336,1.0001648770202145,18
19,1.000117570809663,0.9998126008549053,1.0005533749656894,1.0001290201060133,19
20,1.0003889886812947,1.0007967818439485,1.000804427274657,1.0007836610191134,20
21,1.0005205097831,0.9999775400393159,1.0002246078900667,0.9998711293649125,21
22,0.9998646940893063,1.000819209748081,1.000781516907891,1.0002694726045147,22
23,0.9998145028786803,1.0012048281937214,1.0007505748135455,1.0000892534743449,23
24,1.0001978390162007,1.0008311731373472,1.0001184183037692,1.000540236417412,24
25,1.0016105701148474,1.0005883677510874,1.0007164427150976,1.0005356595517694,25
26,1.0015199052634651,0.9999323925696353,1.0014414997462866,0.9999864175497268,26
27,1.000215107635715,1.0004124433388077,1.0002700679035592,1.0013237505899848,27
28,1.001015408585888,1.0010002503921946,1.0002970233538164,1.0005067386452946,28
29,1.0000435485141093,1.0006866937689864,0.9999743398053784,1.0003039807467473,29
30,1.0000948397560576,1.0028784083983713,1.0012637093170047,1.0005906386442713,30
