,gamma,v,tau,s,part
0,1.001093008218318,1.0001199412173776,0.9998024538259899,0.999905333339091,0
1,0.9999237297139892,1.0011486591815155,1.0000562861338904,1.0001279805329983,1
2,1.0011655506667503,1.0016574973951675,1.0000591220625579,1.000469177621808,2
3,1.001208429450786,1.0006850106675869,1.0003694379775576,1.0002492645483025,3
4,1.0028307799931215,1.0025592472885014,1.0018333714821754,1.001891319723658,4
5,1.0001508684725644,1.0001736785223057,0.9999962452140987,1.0002046365936184,5
6,1.0000012791347428,1.0003512522102211,1.0005081183838183,1.0005371179737392,6
7,1.0017524583948834,1.0007298110837632,1.001067223083694,1.0000399100967117,7
8,1.000861473470979,1.0005988365942609,1.0005162319376377,0.999624860354219,8
9,1.0007979865278938,1.0005526812941794,1.0007278884708446,1.0001072597522207,9
10,1.0006691656531415,1.0011562109858216,1.0006279291528055,1.000011219020501,10
11,1.0016406574187544,1.000397588707477,1.0010407807283772,1.0002143048289225,11
12,1.00036065908343,1.000085028317359,1.0006811298555176,1.0004717529429532,12
13,1.001009810987283,1.0021129928329777,1.0004134544313852,1.0007433793761227,13
14,1.002035315474491,1.0001310139885222,1.0001377059840888,0.9998761376692202,14
15,1.0005837298972764,1.000625899959661,1.0004242634548401,0.999954653722263,15
16,1.0000279436579362,1.00026534813091,0.9999949602570319,1.000347188054226,16
17,1.0002242010197189,1.0000499049966045,1.000257282332999,1.0004763908805665,17
18,1.000681119123147,0.9997845039057397,1.0000104844014954,0.9997517309348533,18
19,1.0049387434787398,1.0090073237098307,1.0076735960760113,1.010728619565613,19
20,1.0005576725588705,1.0014480892249085,1.0007329893222359,1.0011243093389433,20
21,1.0008167732413813,1.0004270680741754,1.002698733585698,0.9997468679664134,21
22,1.0013366312591139,1.0028292847775067,1.0008803122882688,1.0013092821575216,22
23,1.0004144690082817,1.0002690401304903,0.9998803334510125,1.0004102007293418,23
24,1.001276871383291,0.9997030629020189,1.0002057454342812,1.0004531691260226,24
25,1.001553393868863,1.0016740956249417,1.0014239318588374,1.0002380215251854,25
26,1.0007446320710662,1.0003751215970467,1.000803795142654,1.0009478482033067,26
27,1.0013193908600144,0.9998207182665438,1.0007561099825497,0.9997658455311677,27
28,1.0001870700920594,1.0009621920408545,1.0001757853445117,1.0000495567829593,28
29,1.0035384955153623,1.000492913789003,1.0006672675292627,1.0005167061917688,29
30,1.0015889219489504,1.2422900778606578,0.9998575156081099,1.2480366682966302,30
