,SNR,b,gamma,p_error,s,t0,tau,v
0,158.77,1,-0.99,0.050000001,0.007362,[ 0.],0.65,4.50E-05
1,209.87,1,-0.92,0.050000001,0.012296,[ 0.],0.01,5.10E-05
2,175.02,1,-0.97,0.050000001,0.009304,[ 0.],0.01,4.80E-05
3,36.75,1,-0.17,0.050000001,0.002627,[ 0.],0.58,7.10E-05
4,189.31,1,-0.99,0.050000001,0.011013,[ 0.],4.96,5.50E-05
5,125.82,1,-0.89,0.050000001,0.008133,[ 0.],0.35,5.90E-05
6,39.86,1,0.53,0.050000001,0.003553,[ 0.],0.46,6.10E-05
7,155.44,1,-0.99,0.050000001,0.007196,[ 0.],4.47,4.50E-05
8,54.42,1,-0.06,0.050000001,0.003374,[ 0.],1.04,5.60E-05
9,146.6,1,-0.99,0.050000001,0.008129,[ 0.],4.69,5.50E-05
10,135.3,1,-0.97,0.050000001,0.007204,[ 0.],0.54,5.30E-05
11,42.57,1,0.09,0.050000001,0.003687,[ 0.],0.75,6.00E-05
12,142.89,1,-0.99,0.050000001,0.007849,[ 0.],0.81,5.30E-05
13,226.44,1,-0.99,0.050000001,0.010942,[ 0.],1.46,4.30E-05
14,176.9,1,-0.99,0.050000001,0.007974,[ 0.],0.45,4.20E-05
15,63.17,1,0.54,0.050000001,0.005123,[ 0.],1.17,7.60E-05
16,109.54,1,-0.99,0.050000001,0.007321,[ 0.],0.96,6.40E-05
17,204.69,1,-0.91,0.050000001,0.009179,[ 0.],4.91,4.70E-05
18,111.94,1,-0.97,0.050000001,0.007095,[ 0.],0.01,6.20E-05
19,117.49,1,-0.99,0.050000001,0.00814,[ 0.],1.37,6.50E-05
20,197.35,1,-0.99,0.050000001,0.008446,[ 0.],0.94,4.00E-05
21,176.74,1,-0.99,0.050000001,0.006312,[ 0.],0.53,3.40E-05
22,110.08,1,-0.84,0.050000001,0.009981,[ 0.],0.87,7.80E-05
23,192,1,-0.99,0.050000001,0.007613,[ 0.],0.86,3.80E-05
24,180.59,1,-0.99,0.050000001,0.009482,[ 0.],0.26,4.80E-05
25,305.14,1,-0.99,0.050000001,0.010801,[ 0.],1.78,3.70E-05
26,272.78,1,-0.99,0.050000001,0.009767,[ 0.],4.19,3.00E-05
27,43.35,1,0.62,0.050000001,0.00469,[ 0.],0.82,0.000108
28,285.35,1,-0.99,0.050000001,0.009048,[ 0.],0.01,2.50E-05
29,177.06,1,-0.99,0.050000001,0.009013,[ 0.],0.69,3.60E-05
30,248.87,1,-0.96,0.050000001,0.010191,[ 0.],1.02,3.90E-05
31,159.26,1,-0.52,0.050000001,0.010088,[ 0.],0.55,4.90E-05
32,49.28,1,0.04,0.050000001,0.00151,[ 0.],1.09,3.30E-05
Average,152.1406061,1,-0.702727273,0.050000001,0.007710394,#DIV/0!,1.310909091,5.1697E-05
Std Dev,72.9451792,0,0.516945795,7.04648E-18,0.002628734,#DIV/0!,1.492649414,1.64155E-05
