,0
0,"{'tau': 1.6100000000000001, 'gamma': -0.96999999999999997, 't0': array([ 0.]), 'v': 4.8000000000000001e-05, 's': 0.0081720000000000004, 'b': 1.0, 'SNR': 190.83000000000001, 'p_error': 0.050000001}"
1,"{'tau': 0.12, 'gamma': -0.97999999999999998, 't0': array([ 0.]), 'v': 8.5000000000000006e-05, 's': 0.011299999999999999, 'b': 1.0, 'SNR': 130.66999999999999, 'p_error': 0.050000001}"
2,"{'tau': 1.21, 'gamma': 0.46000000000000002, 't0': array([ 0.]), 'v': 6.0999999999999999e-05, 's': 0.0094199999999999996, 'b': 1.0, 'SNR': 148.66999999999999, 'p_error': 0.050000001}"
3,"{'tau': 2.8799999999999999, 'gamma': -0.82999999999999996, 't0': array([ 0.]), 'v': 3.8999999999999999e-05, 's': 0.0088400000000000006, 'b': 1.0, 'SNR': 235.86000000000001, 'p_error': 0.050000001}"
4,"{'tau': 4.96, 'gamma': -0.68999999999999995, 't0': array([ 0.]), 'v': 6.7000000000000002e-05, 's': 0.0058729999999999997, 'b': 1.0, 'SNR': 87.540000000000006, 'p_error': 0.050000001}"
5,"{'tau': 0.26000000000000001, 'gamma': -0.93999999999999995, 't0': array([ 0.]), 'v': 7.1000000000000005e-05, 's': 0.0070780000000000001, 'b': 1.0, 'SNR': 93.560000000000002, 'p_error': 0.050000001}"
6,"{'tau': 0.35999999999999999, 'gamma': -0.90000000000000002, 't0': array([ 0.]), 'v': 8.0000000000000007e-05, 's': 0.0092359999999999994, 'b': 1.0, 'SNR': 120.95, 'p_error': 0.050000001}"
7,"{'tau': 0.71999999999999997, 'gamma': -0.92000000000000004, 't0': array([ 0.]), 'v': 4.8999999999999998e-05, 's': 0.0074159999999999998, 'b': 1.0, 'SNR': 154.16, 'p_error': 0.050000001}"
8,"{'tau': 0.53000000000000003, 'gamma': -0.91000000000000003, 't0': array([ 0.]), 'v': 6.3e-05, 's': 0.0086549999999999995, 'b': 1.0, 'SNR': 147.78, 'p_error': 0.050000001}"
9,"{'tau': 4.54, 'gamma': -0.90000000000000002, 't0': array([ 0.]), 'v': 3.8000000000000002e-05, 's': 0.0098449999999999996, 'b': 1.0, 'SNR': 251.22, 'p_error': 0.050000001}"
