,SNR,b,gamma,p_error,s,t0,tau,v
0,180.28,1.0,0.62,0.05000000074505806,0.006407,[0.],3.56,3.7e-05
1,37.53,1.0,0.43,0.05000000074505806,0.004241,[0.],0.45,4.9e-05
2,146.71,1.0,0.99,0.05000000074505806,0.007717,[0.],0.8,4.4e-05
3,183.63,1.0,0.16,0.05000000074505806,0.007155,[0.],3.0,3.6e-05
4,214.51,1.0,0.36,0.05000000074505806,0.009292,[0.],4.92,4.8e-05
5,210.12,1.0,0.29,0.05000000074505806,0.008504,[0.],4.76,4.5e-05
6,132.99,1.0,0.27,0.05000000074505806,0.008919,[0.],1.27,6.3e-05
7,139.13,1.0,-0.06,0.05000000074505806,0.006858,[0.],4.19,4.2e-05
8,167.29,1.0,-0.98,0.05000000074505806,0.008069,[0.],2.58,4.7e-05
9,122.06,1.0,-0.69,0.05000000074505806,0.006391,[0.],4.85,5.2e-05
10,120.4,1.0,-0.73,0.05000000074505806,0.006326,[0.],1.08,5.3e-05
11,93.29,1.0,0.05,0.05000000074505806,0.00658,[0.],2.16,4.9e-05
12,33.74,1.0,0.28,0.05000000074505806,0.003092,[0.],1.51,5e-05
13,191.66,1.0,0.46,0.05000000074505806,0.008375,[0.],4.63,4.2e-05
14,184.05,1.0,0.11,0.05000000074505806,0.006223,[0.],2.63,3.6e-05
15,44.01,1.0,0.53,0.05000000074505806,0.003575,[0.],0.17,8.5e-05
16,106.19,1.0,0.35,0.05000000074505806,0.006242,[0.],4.45,5.3e-05
17,159.37,1.0,-0.52,0.05000000074505806,0.008651,[0.],3.2,4.5e-05
18,120.75,1.0,0.73,0.05000000074505806,0.007171,[0.],0.16,5.6e-05
19,177.03,1.0,-0.64,0.05000000074505806,0.008989,[0.],4.79,5e-05
20,156.02,1.0,0.35,0.05000000074505806,0.007011,[0.],4.68,3.7e-05
21,233.96,1.0,0.06,0.05000000074505806,0.006528,[0.],2.14,2.5e-05
22,143.52,1.0,0.45,0.05000000074505806,0.008952,[0.],1.73,6.9e-05
23,218.33,1.0,-0.68,0.05000000074505806,0.009052,[0.],2.61,3.2e-05
24,168.0,1.0,0.96,0.05000000074505806,0.00806,[0.],4.2,4.7e-05
25,238.58,1.0,0.04,0.05000000074505806,0.010799,[0.],3.0,3.6e-05
26,274.04,1.0,-0.92,0.05000000074505806,0.008534,[0.],3.41,2.7e-05
27,51.28,1.0,-0.43,0.05000000074505806,0.005063,[0.],0.83,6.7e-05
28,309.02,1.0,-0.19,0.05000000074505806,0.008924,[0.],1.83,2.1e-05
29,250.36,1.0,-0.21,0.05000000074505806,0.008481,[0.],2.4,3.5e-05
30,297.37,1.0,-0.56,0.05000000074505806,0.00785,[0.],1.68,2.8e-05
