,SNR,b,gamma,p_error,s,t0,tau,v
0,150.91,1.0,0.67,0.05000000074505806,0.005833,[0.],3.42,3.8e-05
1,221.87,1.0,0.78,0.05000000074505806,0.010531,[0.],3.61,4.9e-05
2,188.87,1.0,0.99,0.05000000074505806,0.007549,[0.],0.81,4.3e-05
3,159.74,1.0,0.2,0.05000000074505806,0.00764,[0.],3.19,3.5e-05
4,213.34,1.0,0.29,0.05000000074505806,0.009527,[0.],4.92,4.8e-05
5,173.98,1.0,0.33,0.05000000074505806,0.008203,[0.],4.94,4.7e-05
6,130.21,1.0,0.13,0.05000000074505806,0.009697,[0.],1.68,6e-05
7,137.03,1.0,-0.09,0.05000000074505806,0.006695,[0.],3.74,4.2e-05
8,132.08,1.0,-0.98,0.05000000074505806,0.007873,[0.],2.84,4.7e-05
9,129.27,1.0,-0.74,0.05000000074505806,0.006588,[0.],4.81,5.3e-05
10,118.02,1.0,-0.75,0.05000000074505806,0.006493,[0.],1.08,5.3e-05
11,96.04,1.0,0.06,0.05000000074505806,0.007221,[0.],1.87,4.7e-05
12,132.0,1.0,-0.67,0.05000000074505806,0.008713,[0.],0.84,4.4e-05
13,177.12,1.0,0.52,0.05000000074505806,0.00867,[0.],3.74,4.3e-05
14,148.4,1.0,0.14,0.05000000074505806,0.006425,[0.],3.03,3.6e-05
15,105.05,1.0,-0.71,0.05000000074505806,0.007564,[0.],0.6,6.2e-05
16,84.73,1.0,0.33,0.05000000074505806,0.005603,[0.],3.87,5.3e-05
17,166.25,1.0,-0.54,0.05000000074505806,0.007922,[0.],4.4,4.4e-05
18,116.42,1.0,0.66,0.05000000074505806,0.007317,[0.],0.28,5.6e-05
19,157.95,1.0,-0.55,0.05000000074505806,0.008341,[0.],4.97,5.1e-05
20,172.37,1.0,0.3,0.05000000074505806,0.007274,[0.],4.73,3.7e-05
21,227.79,1.0,0.04,0.05000000074505806,0.006759,[0.],2.35,2.5e-05
22,125.96,1.0,0.46,0.05000000074505806,0.008764,[0.],2.1,6.9e-05
23,176.12,1.0,-0.77,0.05000000074505806,0.008269,[0.],2.39,3.4e-05
24,170.54,1.0,0.93,0.05000000074505806,0.00836,[0.],4.85,4.6e-05
25,214.75,1.0,0.01,0.05000000074505806,0.010204,[0.],3.24,3.6e-05
26,221.25,1.0,-0.89,0.05000000074505806,0.009001,[0.],2.23,2.8e-05
27,62.95,1.0,-0.43,0.05000000074505806,0.006651,[0.],0.76,6.8e-05
28,338.79,1.0,-0.07,0.05000000074505806,0.008562,[0.],1.52,2.1e-05
29,237.04,1.0,-0.09,0.05000000074505806,0.007785,[0.],2.91,3.5e-05
30,271.34,1.0,-0.56,0.05000000074505806,0.008181,[0.],1.57,2.8e-05
