,SNR,b,gamma,p_error,s,t0,tau,v
0,138.97,1.0,0.59,0.05000000074505806,0.006214,[0.],4.36,3.8e-05
1,37.44,1.0,0.36,0.05000000074505806,0.004059,[0.],0.45,4.8e-05
2,159.08,1.0,0.98,0.05000000074505806,0.007682,[0.],0.86,4.3e-05
3,205.12,1.0,0.09,0.05000000074505806,0.007723,[0.],4.27,3.5e-05
4,191.66,1.0,0.22,0.05000000074505806,0.010432,[0.],4.83,4.8e-05
5,173.44,1.0,0.25,0.05000000074505806,0.008257,[0.],4.77,4.6e-05
6,136.86,1.0,0.2,0.05000000074505806,0.008473,[0.],1.4,6.1e-05
7,171.85,1.0,0.02,0.05000000074505806,0.00669,[0.],4.22,4.1e-05
8,144.42,1.0,0.01,0.05000000074505806,0.008362,[0.],1.01,5.4e-05
9,146.44,1.0,0.01,0.05000000074505806,0.008484,[0.],4.89,5.1e-05
10,117.07,1.0,0.01,0.05000000074505806,0.006515,[0.],0.81,5.3e-05
11,126.67,1.0,0.12,0.05000000074505806,0.006896,[0.],2.12,4.9e-05
12,34.0,1.0,0.29,0.05000000074505806,0.003084,[0.],1.32,4.8e-05
13,180.92,1.0,0.49,0.05000000074505806,0.008277,[0.],4.78,4.2e-05
14,150.5,1.0,0.14,0.05000000074505806,0.006021,[0.],2.33,3.7e-05
15,46.23,1.0,0.45,0.05000000074505806,0.003809,[0.],0.15,6.1e-05
16,114.08,1.0,0.27,0.05000000074505806,0.005967,[0.],3.96,5.3e-05
17,122.08,1.0,0.01,0.05000000074505806,0.008568,[0.],3.29,4.5e-05
18,129.4,1.0,0.56,0.05000000074505806,0.007988,[0.],0.36,5.6e-05
19,162.31,1.0,0.01,0.05000000074505806,0.00836,[0.],4.65,5.1e-05
20,168.16,1.0,0.42,0.05000000074505806,0.007264,[0.],4.66,3.7e-05
21,220.79,1.0,0.11,0.05000000074505806,0.006797,[0.],3.44,2.5e-05
22,64.72,1.0,0.27,0.05000000074505806,0.009202,[0.],2.27,6.9e-05
23,202.78,1.0,0.02,0.05000000074505806,0.007735,[0.],4.98,3.4e-05
24,183.93,1.0,0.96,0.05000000074505806,0.007966,[0.],4.43,4.7e-05
25,246.73,1.0,0.02,0.05000000074505806,0.010698,[0.],3.87,3.7e-05
26,232.39,1.0,0.02,0.05000000074505806,0.00834,[0.],2.23,3e-05
27,54.57,1.0,0.01,0.05000000074505806,0.0054,[0.],0.73,8.4e-05
28,341.59,1.0,0.03,0.05000000074505806,0.008734,[0.],1.72,2.2e-05
29,227.06,1.0,0.01,0.05000000074505806,0.008496,[0.],4.03,3.7e-05
30,220.78,1.0,0.01,0.05000000074505806,0.008709,[0.],0.82,3e-05
