,SNR,b,gamma,p_error,s,t0,tau,v
0,46.19,1.0,0.19,0.05000000074505806,0.003239,[0.],0.51,5.9e-05
1,37.97,1.0,0.38,0.05000000074505806,0.004252,[0.],0.45,5.3e-05
2,43.56,1.0,0.29,0.05000000074505806,0.003889,[0.],0.01,5e-05
3,61.8,1.0,0.15,0.05000000074505806,0.004826,[0.],0.95,7.8e-05
4,181.86,1.0,0.26,0.05000000074505806,0.011398,[0.],1.18,6.5e-05
5,140.2,1.0,0.01,0.05000000074505806,0.007892,[0.],0.01,6e-05
6,137.98,1.0,0.01,0.05000000074505806,0.010018,[0.],0.02,6.3e-05
7,139.68,1.0,0.01,0.05000000074505806,0.007933,[0.],0.02,5.4e-05
8,75.03,1.0,0.33,0.05000000074505806,0.005674,[0.],0.42,5.5e-05
9,146.95,1.0,0.01,0.05000000074505806,0.007912,[0.],0.01,7.1e-05
10,122.11,1.0,0.03,0.05000000074505806,0.006226,[0.],0.02,5.7e-05
11,109.82,1.0,0.01,0.05000000074505806,0.007156,[0.],0.01,6.3e-05
12,36.7,1.0,0.3,0.05000000074505806,0.003009,[0.],0.99,6.3e-05
13,206.97,1.0,0.04,0.05000000074505806,0.01096,[0.],0.01,4e-05
14,43.68,1.0,0.12,0.05000000074505806,0.00287,[0.],1.41,4.7e-05
15,40.14,1.0,0.3,0.05000000074505806,0.003666,[0.],0.0,6e-05
16,40.5,1.0,0.28,0.05000000074505806,0.003884,[0.],0.01,9.9e-05
17,154.24,1.0,0.02,0.05000000074505806,0.008759,[0.],0.01,5.5e-05
18,125.68,1.0,0.07,0.05000000074505806,0.007249,[0.],0.02,5.8e-05
19,128.02,1.0,0.01,0.05000000074505806,0.007721,[0.],1.03,6.8e-05
20,199.59,1.0,0.02,0.05000000074505806,0.009052,[0.],0.01,3.8e-05
21,209.12,1.0,0.01,0.05000000074505806,0.006796,[0.],0.01,3e-05
22,100.62,1.0,0.04,0.05000000074505806,0.009157,[0.],0.02,8.3e-05
23,190.12,1.0,0.02,0.05000000074505806,0.008045,[0.],0.48,3.8e-05
24,162.18,1.0,0.02,0.05000000074505806,0.009576,[0.],0.01,4.9e-05
25,43.26,1.0,0.37,0.05000000074505806,0.004801,[0.],0.05,0.000103
26,257.43,1.0,0.01,0.05000000074505806,0.009864,[0.],0.54,2.8e-05
27,55.85,1.0,0.01,0.05000000074505806,0.00662,[0.],0.01,9.8e-05
28,330.34,1.0,0.23,0.05000000074505806,0.008573,[0.],1.64,5.2e-05
29,58.17,1.0,0.33,0.05000000074505806,0.004447,[0.],0.62,4.4e-05
30,247.16,1.0,0.01,0.05000000074505806,0.008916,[0.],0.01,3.1e-05
