,SNR,b,gamma,p_error,s,t0,tau,v
0,179.94,1.0,0.01,0.05000000074505806,0.007742,[0.],4.77,4.4e-05
1,44.31,1.0,0.8,0.05000000074505806,0.00575,[0.],0.56,7.5e-05
2,107.97,1.0,0.14,0.05000000074505806,0.008394,[0.],1.87,5.7e-05
3,174.89,1.0,-0.05,0.05000000074505806,0.007141,[0.],4.7,4.2e-05
4,73.46,1.0,0.05,0.05000000074505806,0.006764,[0.],2.34,9.1e-05
5,107.44,1.0,0.38,0.05000000074505806,0.007028,[0.],1.45,6.4e-05
6,116.09,1.0,0.01,0.05000000074505806,0.009647,[0.],2.22,7.7e-05
7,152.56,1.0,0.07,0.05000000074505806,0.007672,[0.],1.6,4.3e-05
8,174.54,1.0,-0.88,0.05000000074505806,0.009078,[0.],1.04,5.5e-05
9,170.19,1.0,0.25,0.05000000074505806,0.00806,[0.],4.81,4.6e-05
10,81.59,1.0,0.26,0.05000000074505806,0.005368,[0.],0.59,6.6e-05
11,128.3,1.0,-0.25,0.05000000074505806,0.006906,[0.],2.16,5e-05
12,87.77,1.0,0.35,0.05000000074505806,0.008004,[0.],0.77,8.4e-05
13,177.46,1.0,0.43,0.05000000074505806,0.00818,[0.],2.37,4.2e-05
14,136.86,1.0,0.6,0.05000000074505806,0.006906,[0.],2.36,4.6e-05
15,152.09,1.0,-0.74,0.05000000074505806,0.007796,[0.],4.99,5.2e-05
16,122.33,1.0,0.16,0.05000000074505806,0.007241,[0.],4.87,5.6e-05
17,105.27,1.0,-0.38,0.05000000074505806,0.006024,[0.],4.99,5.5e-05
18,90.93,1.0,-0.78,0.05000000074505806,0.006784,[0.],3.31,6.2e-05
19,52.17,1.0,-0.86,0.05000000074505806,0.005037,[0.],1.17,9.5e-05
20,167.35,1.0,-0.56,0.05000000074505806,0.007974,[0.],3.02,4.4e-05
21,232.41,1.0,-0.1,0.05000000074505806,0.007434,[0.],1.03,3.2e-05
22,93.72,1.0,-0.18,0.05000000074505806,0.008404,[0.],4.13,8.3e-05
23,183.32,1.0,-0.4,0.05000000074505806,0.00789,[0.],4.91,3.9e-05
24,260.38,1.0,0.01,0.05000000074505806,0.007665,[0.],4.68,2.9e-05
25,78.57,1.0,0.41,0.05000000074505806,0.00739,[0.],1.22,8.6e-05
26,120.97,1.0,-0.97,0.05000000074505806,0.007382,[0.],4.72,5.4e-05
27,196.13,1.0,-0.35,0.05000000074505806,0.010025,[0.],3.95,5.5e-05
28,58.86,1.0,-0.15,0.05000000074505806,0.007182,[0.],1.57,3.1e-05
29,161.42,1.0,-0.63,0.05000000074505806,0.007003,[0.],4.74,4.3e-05
30,198.59,1.0,-0.98,0.05000000074505806,0.008147,[0.],0.33,3.9e-05
