,SNR,b,gamma,p_error,s,t0,tau,v
0,168.42,1.0,0.01,0.05000000074505806,0.00841,[0.],4.38,4.5e-05
1,44.13,1.0,0.45,0.05000000074505806,0.009744,[0.],0.57,7.5e-05
2,130.7,1.0,0.32,0.05000000074505806,0.008012,[0.],1.85,5.7e-05
3,145.6,1.0,0.03,0.05000000074505806,0.007725,[0.],4.99,4.3e-05
4,43.01,1.0,0.21,0.05000000074505806,0.006729,[0.],1.05,0.000107
5,131.82,1.0,0.38,0.05000000074505806,0.007328,[0.],1.32,6.3e-05
6,110.19,1.0,0.04,0.05000000074505806,0.008844,[0.],2.13,7.6e-05
7,162.41,1.0,0.07,0.05000000074505806,0.00819,[0.],2.28,4.4e-05
8,153.29,1.0,0.01,0.05000000074505806,0.009473,[0.],0.55,5.3e-05
9,159.41,1.0,0.14,0.05000000074505806,0.007363,[0.],4.92,4.7e-05
10,101.28,1.0,0.28,0.05000000074505806,0.006706,[0.],0.71,6.6e-05
11,118.62,1.0,0.01,0.05000000074505806,0.007106,[0.],1.72,5.1e-05
12,182.28,1.0,0.0,0.05000000074505806,0.007785,[0.],4.86,4.5e-05
13,195.6,1.0,0.43,0.05000000074505806,0.00889,[0.],2.33,4e-05
14,158.15,1.0,0.6,0.05000000074505806,0.006657,[0.],2.99,4.4e-05
15,144.55,1.0,0.02,0.05000000074505806,0.007799,[0.],3.06,5e-05
16,135.03,1.0,0.02,0.05000000074505806,0.008156,[0.],4.92,5.4e-05
17,117.53,1.0,0.01,0.05000000074505806,0.006792,[0.],4.81,5.4e-05
18,109.75,1.0,0.01,0.05000000074505806,0.007156,[0.],1.05,6.3e-05
19,50.6,1.0,0.25,0.05000000074505806,0.005066,[0.],0.63,9.8e-05
20,162.19,1.0,0.01,0.05000000074505806,0.008167,[0.],2.07,4.2e-05
21,218.36,1.0,0.05,0.05000000074505806,0.007501,[0.],1.03,3.2e-05
22,93.23,1.0,0.02,0.05000000074505806,0.00737,[0.],2.82,8.3e-05
23,215.0,1.0,0.01,0.05000000074505806,0.008461,[0.],4.59,3.8e-05
24,274.64,1.0,0.16,0.05000000074505806,0.007857,[0.],4.79,2.9e-05
25,83.42,1.0,0.36,0.05000000074505806,0.008488,[0.],1.22,8.6e-05
26,108.99,1.0,0.01,0.05000000074505806,0.007824,[0.],1.41,5.8e-05
27,124.3,1.0,0.01,0.05000000074505806,0.009087,[0.],1.03,5.1e-05
28,222.48,1.0,0.01,0.05000000074505806,0.00693,[0.],1.86,3.5e-05
29,170.68,1.0,0.01,0.05000000074505806,0.008129,[0.],2.53,4.4e-05
30,207.52,1.0,0.01,0.05000000074505806,0.008408,[0.],0.32,4e-05
