,LVal,RVal,AbsDVal,TotVal,AbsDEv,RTsim,Correct_sim,Choice_sim,Conf_human,zConf_human
0,1.1,0.95,0.15000000000000013,2.05,1.2738267385347715,2031.0,1,0.0,80,0.5821553501131095
1,2.0,1.7,0.30000000000000004,3.7,1.2748168662524024,1568.0,1,0.0,78,0.4325651102553511
2,1.1,2.3,1.1999999999999997,3.4,1.2071485119107939,1325.0,1,1.0,82,0.7317455899708678
3,1.25,1.4,0.1499999999999999,2.65,0.8391811088930092,2455.0,1,1.0,42,-2.2600592071842995
4,2.0,2.3,0.2999999999999998,4.3,0.2962804678703953,3025.0,1,1.0,70,-0.16579584917568232
5,1.7,1.85,0.15000000000000013,3.55,0.26392995149766985,2408.0,1,1.0,74,0.1333846305398344
6,1.85,0.65,1.2000000000000002,2.5,0.5835744825242771,1510.0,1,0.0,70,-0.16579584917568232
7,1.55,0.8,0.75,2.35,1.4242434582639627,2817.0,1,0.0,76,0.2829748703975928
8,1.55,1.1,0.44999999999999996,2.6500000000000004,0.8959387741728513,1694.0,0,1.0,90,1.3301065494019009
9,1.1,2.0,0.8999999999999999,3.1,0.5572093235987768,4423.0,1,1.0,54,-1.3625177680377492
10,1.85,1.1,0.75,2.95,0.052943035034476726,2837.0,1,0.0,60,-0.9137470484644742
11,0.95,2.0,1.05,2.95,0.13396453886293758,1615.0,1,1.0,56,-1.212927528179991
12,0.95,0.8,0.1499999999999999,1.75,1.0227805914290264,2912.0,1,0.0,58,-1.0633372883222325
13,2.0,1.1,0.8999999999999999,3.1,1.0141647908204883,2015.0,1,0.0,80,0.5821553501131095
14,1.85,1.1,0.75,2.95,1.0310753456866326,2028.0,1,0.0,94,1.6292870291174182
15,1.25,1.85,0.6000000000000001,3.1,0.922733831529394,1811.0,1,1.0,48,-1.811288487611024
16,2.0,2.0,0.0,4.0,1.5972160856246282,4223.0,0,0.0,60,-0.9137470484644742
17,1.25,1.7,0.44999999999999996,2.95,0.45047022692076466,1540.0,0,0.0,58,-1.0633372883222325
18,1.7,1.4,0.30000000000000004,3.0999999999999996,1.1909344014386147,4665.0,1,0.0,62,-0.7641568086067158
19,1.1,1.1,0.0,2.2,0.7283208103209995,2272.0,0,0.0,66,-0.4649763288911991
20,1.1,0.95,0.15000000000000013,2.05,0.860026419294794,4028.0,1,0.0,70,-0.16579584917568232
21,1.7,1.55,0.1499999999999999,3.25,1.3817590516444693,1954.0,1,0.0,52,-1.5121080078955076
22,1.85,2.0,0.1499999999999999,3.85,1.0314614004076483,841.0,1,1.0,72,-0.016205609317923964
23,1.7,1.4,0.30000000000000004,3.0999999999999996,0.059746186958502756,3243.0,1,0.0,70,-0.16579584917568232
